module_id,module_name,category,canonical_method,validation_class,empirical_result,calibration_provenance_state,lineage_state,current_routing,voting,run35_disposition,rationale,run36_action
B2.13,Type-2 Fuzzy Sets,Evidence Combination,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
B2.14,Maximum Entropy,Evidence Combination,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
B2.15,Possibility Theory,Evidence Combination,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
B2.16,Spherical Fuzzy Sets,Evidence Combination,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
B2.17,Fermatean Fuzzy Sets,Evidence Combination,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
B2.18,MARCOS Ranking,Evidence Combination,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
B2.19,CRITIC-TOPSIS,Evidence Combination,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
B2.20,Hypersoft Sets,Evidence Combination,NO_METHOD_IMPLEMENTED,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_NOT_APPLICABLE,ABSTAINS,NO,DISABLED_INSUFFICIENT_PROVENANCE,"disabled because no frozen operator formulation exists in the supervisory artifacts; the citations are DOIs, not a method this platform can execute",confirm the structure is still absent and the abstention still fires
B3.1,Agent-Based Governance Model,Regulatory & Authority Thresholds,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_TUNABLE_VALUE,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
B3.2,FAR/Agency EVMS Applicability Monitor,Regulatory & Authority Thresholds,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
B3.3,Versioned A-11 Capital Programming Conformance Check,Regulatory & Authority Thresholds,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
B3.4,EVMS Reporting Compliance Monitor,Regulatory & Authority Thresholds,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
B3.5,Contract Modification Governance Check,Regulatory & Authority Thresholds,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
B4.1,Multi-Objective Optimization,Decision Optimization,NO_METHOD_IMPLEMENTED,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_NOT_APPLICABLE,ABSTAINS,NO,DISABLED_INSUFFICIENT_INPUT,disabled: the analytical structure its registered name claims -- and the governed data that structure would need -- exists nowhere in the corpus,confirm the structure is still absent and the abstention still fires
B4.2,Linear Programming,Decision Optimization,NO_METHOD_IMPLEMENTED,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_NOT_APPLICABLE,ABSTAINS,NO,DISABLED_INSUFFICIENT_INPUT,disabled: the analytical structure its registered name claims -- and the governed data that structure would need -- exists nowhere in the corpus,confirm the structure is still absent and the abstention still fires
B4.3,Constraint Satisfaction Analysis,Decision Optimization,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
B4.4,What-If Scenario Matrix,Decision Optimization,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
B4.5,Decision Sensitivity Matrix,Decision Optimization,NO_METHOD_IMPLEMENTED,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_NOT_APPLICABLE,ABSTAINS,NO,DISABLED_INSUFFICIENT_INPUT,disabled: the analytical structure its registered name claims -- and the governed data that structure would need -- exists nowhere in the corpus,confirm the structure is still absent and the abstention still fires
B4.6,Pareto Frontier Analysis,Decision Optimization,NO_METHOD_IMPLEMENTED,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_NOT_APPLICABLE,ABSTAINS,NO,DISABLED_INSUFFICIENT_INPUT,disabled: the analytical structure its registered name claims -- and the governed data that structure would need -- exists nowhere in the corpus,confirm the structure is still absent and the abstention still fires
B4.7,Minimax Regret Decision Rule,Decision Optimization,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_TUNABLE_VALUE,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
C1.1,Missing Data Index,Data Integrity,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
C1.2,Data Timeliness Score,Data Integrity,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
C1.3,Source Reliability Weighting,Data Integrity,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
C1.4,Audit Trail Completeness,Data Integrity,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
C1.5,Information Completeness Ratio,Data Integrity,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
C1.6,Cross-document Consistency Score,Data Integrity,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
C1.7,Reporting Frequency Index,Data Integrity,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
D1.1,Isolation Forest,Portfolio Health,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
D1.2,Portfolio Outlier Detection,Portfolio Health,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
D1.3,Signal Trajectory Classifier,Portfolio Health,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
D1.4,Cross-project Pattern Detector,Portfolio Health,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_UNRESOLVED,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
D1.5,Anomaly Score,Portfolio Health,YES,STRUCTURE_OR_DATA_ABSENT,NOT_APPLICABLE,NO_CALIBRATION_SET,LINEAGE_ESTABLISHED_DEPENDENT,ABSTAINS,NO,KEEP_ABSTENTION_CAPABLE,"canonical method retained; the governed structure or evidence it requires is absent from the current corpus, so abstention is the correct current behaviour and no reading is manufactured to fill the row",confirm the structure is still absent and the abstention still fires
