module_id,required_inputs,provenance_check,timeliness_check,revision_check,canonical_structure_check,qualification_available,remaining_gap,downstream_effect
A5.2,known: the module declares them through check_inputs and abstains with missing_required_input when one is absent,"partly: signal_inputs.sources records a document TYPE per field, never a document identity or version, so a field cannot be traced to the artefact that produced it","partly: period_cutoff bounds every computation and C1.2 measures document age against it, but no per-field as-of date exists, so a stale field inside a current period is not detectable",NOT AVAILABLE: no module knows whether a required revision was resolved. Document versioning exists at the document level and is not joined to the field a module reads.,not required by this module,partial,"per-field provenance identity, per-field as-of date, and revision resolution. Building any of the three would require evidence structures the repository does not hold, so none is fabricated.","none in this run. No qualification object is exposed to synthesis, so nothing downstream consumes a quality score, fabricated or otherwise. Category 9 remains non-voting and excluded from the category rollup."
A5.3,known: the module declares them through check_inputs and abstains with missing_required_input when one is absent,"partly: signal_inputs.sources records a document TYPE per field, never a document identity or version, so a field cannot be traced to the artefact that produced it","partly: period_cutoff bounds every computation and C1.2 measures document age against it, but no per-field as-of date exists, so a stale field inside a current period is not detectable",NOT AVAILABLE: no module knows whether a required revision was resolved. Document versioning exists at the document level and is not joined to the field a module reads.,not required by this module,partial,"per-field provenance identity, per-field as-of date, and revision resolution. Building any of the three would require evidence structures the repository does not hold, so none is fabricated.","none in this run. No qualification object is exposed to synthesis, so nothing downstream consumes a quality score, fabricated or otherwise. Category 9 remains non-voting and excluded from the category rollup."
A5.4,known: the module declares them through check_inputs and abstains with missing_required_input when one is absent,"partly: signal_inputs.sources records a document TYPE per field, never a document identity or version, so a field cannot be traced to the artefact that produced it","partly: period_cutoff bounds every computation and C1.2 measures document age against it, but no per-field as-of date exists, so a stale field inside a current period is not detectable",NOT AVAILABLE: no module knows whether a required revision was resolved. Document versioning exists at the document level and is not joined to the field a module reads.,enforced,partial,"per-field provenance identity, per-field as-of date, and revision resolution. Building any of the three would require evidence structures the repository does not hold, so none is fabricated.","none in this run. No qualification object is exposed to synthesis, so nothing downstream consumes a quality score, fabricated or otherwise. Category 9 remains non-voting and excluded from the category rollup."
A5.5,known: the module declares them through check_inputs and abstains with missing_required_input when one is absent,"partly: signal_inputs.sources records a document TYPE per field, never a document identity or version, so a field cannot be traced to the artefact that produced it","partly: period_cutoff bounds every computation and C1.2 measures document age against it, but no per-field as-of date exists, so a stale field inside a current period is not detectable",NOT AVAILABLE: no module knows whether a required revision was resolved. Document versioning exists at the document level and is not joined to the field a module reads.,not required by this module,partial,"per-field provenance identity, per-field as-of date, and revision resolution. Building any of the three would require evidence structures the repository does not hold, so none is fabricated.","none in this run. No qualification object is exposed to synthesis, so nothing downstream consumes a quality score, fabricated or otherwise. Category 9 remains non-voting and excluded from the category rollup."
A5.6,known: the module declares them through check_inputs and abstains with missing_required_input when one is absent,"partly: signal_inputs.sources records a document TYPE per field, never a document identity or version, so a field cannot be traced to the artefact that produced it","partly: period_cutoff bounds every computation and C1.2 measures document age against it, but no per-field as-of date exists, so a stale field inside a current period is not detectable",NOT AVAILABLE: no module knows whether a required revision was resolved. Document versioning exists at the document level and is not joined to the field a module reads.,enforced,partial,"per-field provenance identity, per-field as-of date, and revision resolution. Building any of the three would require evidence structures the repository does not hold, so none is fabricated.","none in this run. No qualification object is exposed to synthesis, so nothing downstream consumes a quality score, fabricated or otherwise. Category 9 remains non-voting and excluded from the category rollup."
A5.7,known: the module declares them through check_inputs and abstains with missing_required_input when one is absent,"partly: signal_inputs.sources records a document TYPE per field, never a document identity or version, so a field cannot be traced to the artefact that produced it","partly: period_cutoff bounds every computation and C1.2 measures document age against it, but no per-field as-of date exists, so a stale field inside a current period is not detectable",NOT AVAILABLE: no module knows whether a required revision was resolved. Document versioning exists at the document level and is not joined to the field a module reads.,enforced,partial,"per-field provenance identity, per-field as-of date, and revision resolution. Building any of the three would require evidence structures the repository does not hold, so none is fabricated.","none in this run. No qualification object is exposed to synthesis, so nothing downstream consumes a quality score, fabricated or otherwise. Category 9 remains non-voting and excluded from the category rollup."
A5.8,known: the module declares them through check_inputs and abstains with missing_required_input when one is absent,"partly: signal_inputs.sources records a document TYPE per field, never a document identity or version, so a field cannot be traced to the artefact that produced it","partly: period_cutoff bounds every computation and C1.2 measures document age against it, but no per-field as-of date exists, so a stale field inside a current period is not detectable",NOT AVAILABLE: no module knows whether a required revision was resolved. Document versioning exists at the document level and is not joined to the field a module reads.,not required by this module,partial,"per-field provenance identity, per-field as-of date, and revision resolution. Building any of the three would require evidence structures the repository does not hold, so none is fabricated.","none in this run. No qualification object is exposed to synthesis, so nothing downstream consumes a quality score, fabricated or otherwise. Category 9 remains non-voting and excluded from the category rollup."
A6.1,known: the module declares them through check_inputs and abstains with missing_required_input when one is absent,"partly: signal_inputs.sources records a document TYPE per field, never a document identity or version, so a field cannot be traced to the artefact that produced it","partly: period_cutoff bounds every computation and C1.2 measures document age against it, but no per-field as-of date exists, so a stale field inside a current period is not detectable",NOT AVAILABLE: no module knows whether a required revision was resolved. Document versioning exists at the document level and is not joined to the field a module reads.,not required by this module,partial,"per-field provenance identity, per-field as-of date, and revision resolution. Building any of the three would require evidence structures the repository does not hold, so none is fabricated.","none in this run. No qualification object is exposed to synthesis, so nothing downstream consumes a quality score, fabricated or otherwise. Category 9 remains non-voting and excluded from the category rollup."
A6.2,known: the module declares them through check_inputs and abstains with missing_required_input when one is absent,"partly: signal_inputs.sources records a document TYPE per field, never a document identity or version, so a field cannot be traced to the artefact that produced it","partly: period_cutoff bounds every computation and C1.2 measures document age against it, but no per-field as-of date exists, so a stale field inside a current period is not detectable",NOT AVAILABLE: no module knows whether a required revision was resolved. Document versioning exists at the document level and is not joined to the field a module reads.,not required by this module,partial,"per-field provenance identity, per-field as-of date, and revision resolution. Building any of the three would require evidence structures the repository does not hold, so none is fabricated.","none in this run. No qualification object is exposed to synthesis, so nothing downstream consumes a quality score, fabricated or otherwise. Category 9 remains non-voting and excluded from the category rollup."
A6.3,known: the module declares them through check_inputs and abstains with missing_required_input when one is absent,"partly: signal_inputs.sources records a document TYPE per field, never a document identity or version, so a field cannot be traced to the artefact that produced it","partly: period_cutoff bounds every computation and C1.2 measures document age against it, but no per-field as-of date exists, so a stale field inside a current period is not detectable",NOT AVAILABLE: no module knows whether a required revision was resolved. Document versioning exists at the document level and is not joined to the field a module reads.,enforced,partial,"per-field provenance identity, per-field as-of date, and revision resolution. Building any of the three would require evidence structures the repository does not hold, so none is fabricated.","none in this run. No qualification object is exposed to synthesis, so nothing downstream consumes a quality score, fabricated or otherwise. Category 9 remains non-voting and excluded from the category rollup."
A6.4,known: the module declares them through check_inputs and abstains with missing_required_input when one is absent,"partly: signal_inputs.sources records a document TYPE per field, never a document identity or version, so a field cannot be traced to the artefact that produced it","partly: period_cutoff bounds every computation and C1.2 measures document age against it, but no per-field as-of date exists, so a stale field inside a current period is not detectable",NOT AVAILABLE: no module knows whether a required revision was resolved. Document versioning exists at the document level and is not joined to the field a module reads.,not required by this module,partial,"per-field provenance identity, per-field as-of date, and revision resolution. Building any of the three would require evidence structures the repository does not hold, so none is fabricated.","none in this run. No qualification object is exposed to synthesis, so nothing downstream consumes a quality score, fabricated or otherwise. Category 9 remains non-voting and excluded from the category rollup."
B1.1,known: the module declares them through check_inputs and abstains with missing_required_input when one is absent,"partly: signal_inputs.sources records a document TYPE per field, never a document identity or version, so a field cannot be traced to the artefact that produced it","partly: period_cutoff bounds every computation and C1.2 measures document age against it, but no per-field as-of date exists, so a stale field inside a current period is not detectable",NOT AVAILABLE: no module knows whether a required revision was resolved. Document versioning exists at the document level and is not joined to the field a module reads.,not required by this module,partial,"per-field provenance identity, per-field as-of date, and revision resolution. Building any of the three would require evidence structures the repository does not hold, so none is fabricated.","none in this run. No qualification object is exposed to synthesis, so nothing downstream consumes a quality score, fabricated or otherwise. Category 9 remains non-voting and excluded from the category rollup."
B1.2,known: the module declares them through check_inputs and abstains with missing_required_input when one is absent,"partly: signal_inputs.sources records a document TYPE per field, never a document identity or version, so a field cannot be traced to the artefact that produced it","partly: period_cutoff bounds every computation and C1.2 measures document age against it, but no per-field as-of date exists, so a stale field inside a current period is not detectable",NOT AVAILABLE: no module knows whether a required revision was resolved. Document versioning exists at the document level and is not joined to the field a module reads.,not required by this module,partial,"per-field provenance identity, per-field as-of date, and revision resolution. Building any of the three would require evidence structures the repository does not hold, so none is fabricated.","none in this run. No qualification object is exposed to synthesis, so nothing downstream consumes a quality score, fabricated or otherwise. Category 9 remains non-voting and excluded from the category rollup."
B1.3,known: the module declares them through check_inputs and abstains with missing_required_input when one is absent,"partly: signal_inputs.sources records a document TYPE per field, never a document identity or version, so a field cannot be traced to the artefact that produced it","partly: period_cutoff bounds every computation and C1.2 measures document age against it, but no per-field as-of date exists, so a stale field inside a current period is not detectable",NOT AVAILABLE: no module knows whether a required revision was resolved. Document versioning exists at the document level and is not joined to the field a module reads.,not required by this module,partial,"per-field provenance identity, per-field as-of date, and revision resolution. Building any of the three would require evidence structures the repository does not hold, so none is fabricated.","none in this run. No qualification object is exposed to synthesis, so nothing downstream consumes a quality score, fabricated or otherwise. Category 9 remains non-voting and excluded from the category rollup."
B1.4,known: the module declares them through check_inputs and abstains with missing_required_input when one is absent,"partly: signal_inputs.sources records a document TYPE per field, never a document identity or version, so a field cannot be traced to the artefact that produced it","partly: period_cutoff bounds every computation and C1.2 measures document age against it, but no per-field as-of date exists, so a stale field inside a current period is not detectable",NOT AVAILABLE: no module knows whether a required revision was resolved. Document versioning exists at the document level and is not joined to the field a module reads.,not required by this module,partial,"per-field provenance identity, per-field as-of date, and revision resolution. Building any of the three would require evidence structures the repository does not hold, so none is fabricated.","none in this run. No qualification object is exposed to synthesis, so nothing downstream consumes a quality score, fabricated or otherwise. Category 9 remains non-voting and excluded from the category rollup."
B2.1,known: the module declares them through check_inputs and abstains with missing_required_input when one is absent,"partly: signal_inputs.sources records a document TYPE per field, never a document identity or version, so a field cannot be traced to the artefact that produced it","partly: period_cutoff bounds every computation and C1.2 measures document age against it, but no per-field as-of date exists, so a stale field inside a current period is not detectable",NOT AVAILABLE: no module knows whether a required revision was resolved. Document versioning exists at the document level and is not joined to the field a module reads.,enforced,partial,"per-field provenance identity, per-field as-of date, and revision resolution. Building any of the three would require evidence structures the repository does not hold, so none is fabricated.","none in this run. No qualification object is exposed to synthesis, so nothing downstream consumes a quality score, fabricated or otherwise. Category 9 remains non-voting and excluded from the category rollup."
B2.2,known: the module declares them through check_inputs and abstains with missing_required_input when one is absent,"partly: signal_inputs.sources records a document TYPE per field, never a document identity or version, so a field cannot be traced to the artefact that produced it","partly: period_cutoff bounds every computation and C1.2 measures document age against it, but no per-field as-of date exists, so a stale field inside a current period is not detectable",NOT AVAILABLE: no module knows whether a required revision was resolved. Document versioning exists at the document level and is not joined to the field a module reads.,not required by this module,partial,"per-field provenance identity, per-field as-of date, and revision resolution. Building any of the three would require evidence structures the repository does not hold, so none is fabricated.","none in this run. No qualification object is exposed to synthesis, so nothing downstream consumes a quality score, fabricated or otherwise. Category 9 remains non-voting and excluded from the category rollup."
B2.3,known: the module declares them through check_inputs and abstains with missing_required_input when one is absent,"partly: signal_inputs.sources records a document TYPE per field, never a document identity or version, so a field cannot be traced to the artefact that produced it","partly: period_cutoff bounds every computation and C1.2 measures document age against it, but no per-field as-of date exists, so a stale field inside a current period is not detectable",NOT AVAILABLE: no module knows whether a required revision was resolved. Document versioning exists at the document level and is not joined to the field a module reads.,not required by this module,partial,"per-field provenance identity, per-field as-of date, and revision resolution. Building any of the three would require evidence structures the repository does not hold, so none is fabricated.","none in this run. No qualification object is exposed to synthesis, so nothing downstream consumes a quality score, fabricated or otherwise. Category 9 remains non-voting and excluded from the category rollup."
B2.4,known: the module declares them through check_inputs and abstains with missing_required_input when one is absent,"partly: signal_inputs.sources records a document TYPE per field, never a document identity or version, so a field cannot be traced to the artefact that produced it","partly: period_cutoff bounds every computation and C1.2 measures document age against it, but no per-field as-of date exists, so a stale field inside a current period is not detectable",NOT AVAILABLE: no module knows whether a required revision was resolved. Document versioning exists at the document level and is not joined to the field a module reads.,not required by this module,partial,"per-field provenance identity, per-field as-of date, and revision resolution. Building any of the three would require evidence structures the repository does not hold, so none is fabricated.","none in this run. No qualification object is exposed to synthesis, so nothing downstream consumes a quality score, fabricated or otherwise. Category 9 remains non-voting and excluded from the category rollup."
B2.5,known: the module declares them through check_inputs and abstains with missing_required_input when one is absent,"partly: signal_inputs.sources records a document TYPE per field, never a document identity or version, so a field cannot be traced to the artefact that produced it","partly: period_cutoff bounds every computation and C1.2 measures document age against it, but no per-field as-of date exists, so a stale field inside a current period is not detectable",NOT AVAILABLE: no module knows whether a required revision was resolved. Document versioning exists at the document level and is not joined to the field a module reads.,not required by this module,partial,"per-field provenance identity, per-field as-of date, and revision resolution. Building any of the three would require evidence structures the repository does not hold, so none is fabricated.","none in this run. No qualification object is exposed to synthesis, so nothing downstream consumes a quality score, fabricated or otherwise. Category 9 remains non-voting and excluded from the category rollup."
B2.6,known: the module declares them through check_inputs and abstains with missing_required_input when one is absent,"partly: signal_inputs.sources records a document TYPE per field, never a document identity or version, so a field cannot be traced to the artefact that produced it","partly: period_cutoff bounds every computation and C1.2 measures document age against it, but no per-field as-of date exists, so a stale field inside a current period is not detectable",NOT AVAILABLE: no module knows whether a required revision was resolved. Document versioning exists at the document level and is not joined to the field a module reads.,not required by this module,partial,"per-field provenance identity, per-field as-of date, and revision resolution. Building any of the three would require evidence structures the repository does not hold, so none is fabricated.","none in this run. No qualification object is exposed to synthesis, so nothing downstream consumes a quality score, fabricated or otherwise. Category 9 remains non-voting and excluded from the category rollup."
B2.7,"n/a: disabled, refused before its formula is reached","partly: signal_inputs.sources records a document TYPE per field, never a document identity or version, so a field cannot be traced to the artefact that produced it","partly: period_cutoff bounds every computation and C1.2 measures document age against it, but no per-field as-of date exists, so a stale field inside a current period is not detectable",NOT AVAILABLE: no module knows whether a required revision was resolved. Document versioning exists at the document level and is not joined to the field a module reads.,not required by this module,partial,"per-field provenance identity, per-field as-of date, and revision resolution. Building any of the three would require evidence structures the repository does not hold, so none is fabricated.","none in this run. No qualification object is exposed to synthesis, so nothing downstream consumes a quality score, fabricated or otherwise. Category 9 remains non-voting and excluded from the category rollup."
B2.8,known: the module declares them through check_inputs and abstains with missing_required_input when one is absent,"partly: signal_inputs.sources records a document TYPE per field, never a document identity or version, so a field cannot be traced to the artefact that produced it","partly: period_cutoff bounds every computation and C1.2 measures document age against it, but no per-field as-of date exists, so a stale field inside a current period is not detectable",NOT AVAILABLE: no module knows whether a required revision was resolved. Document versioning exists at the document level and is not joined to the field a module reads.,not required by this module,partial,"per-field provenance identity, per-field as-of date, and revision resolution. Building any of the three would require evidence structures the repository does not hold, so none is fabricated.","none in this run. No qualification object is exposed to synthesis, so nothing downstream consumes a quality score, fabricated or otherwise. Category 9 remains non-voting and excluded from the category rollup."
B2.9,"n/a: disabled, refused before its formula is reached","partly: signal_inputs.sources records a document TYPE per field, never a document identity or version, so a field cannot be traced to the artefact that produced it","partly: period_cutoff bounds every computation and C1.2 measures document age against it, but no per-field as-of date exists, so a stale field inside a current period is not detectable",NOT AVAILABLE: no module knows whether a required revision was resolved. Document versioning exists at the document level and is not joined to the field a module reads.,not required by this module,partial,"per-field provenance identity, per-field as-of date, and revision resolution. Building any of the three would require evidence structures the repository does not hold, so none is fabricated.","none in this run. No qualification object is exposed to synthesis, so nothing downstream consumes a quality score, fabricated or otherwise. Category 9 remains non-voting and excluded from the category rollup."
B2.10,known: the module declares them through check_inputs and abstains with missing_required_input when one is absent,"partly: signal_inputs.sources records a document TYPE per field, never a document identity or version, so a field cannot be traced to the artefact that produced it","partly: period_cutoff bounds every computation and C1.2 measures document age against it, but no per-field as-of date exists, so a stale field inside a current period is not detectable",NOT AVAILABLE: no module knows whether a required revision was resolved. Document versioning exists at the document level and is not joined to the field a module reads.,not required by this module,partial,"per-field provenance identity, per-field as-of date, and revision resolution. Building any of the three would require evidence structures the repository does not hold, so none is fabricated.","none in this run. No qualification object is exposed to synthesis, so nothing downstream consumes a quality score, fabricated or otherwise. Category 9 remains non-voting and excluded from the category rollup."
B2.11,known: the module declares them through check_inputs and abstains with missing_required_input when one is absent,"partly: signal_inputs.sources records a document TYPE per field, never a document identity or version, so a field cannot be traced to the artefact that produced it","partly: period_cutoff bounds every computation and C1.2 measures document age against it, but no per-field as-of date exists, so a stale field inside a current period is not detectable",NOT AVAILABLE: no module knows whether a required revision was resolved. Document versioning exists at the document level and is not joined to the field a module reads.,not required by this module,partial,"per-field provenance identity, per-field as-of date, and revision resolution. Building any of the three would require evidence structures the repository does not hold, so none is fabricated.","none in this run. No qualification object is exposed to synthesis, so nothing downstream consumes a quality score, fabricated or otherwise. Category 9 remains non-voting and excluded from the category rollup."
B2.12,known: the module declares them through check_inputs and abstains with missing_required_input when one is absent,"partly: signal_inputs.sources records a document TYPE per field, never a document identity or version, so a field cannot be traced to the artefact that produced it","partly: period_cutoff bounds every computation and C1.2 measures document age against it, but no per-field as-of date exists, so a stale field inside a current period is not detectable",NOT AVAILABLE: no module knows whether a required revision was resolved. Document versioning exists at the document level and is not joined to the field a module reads.,not required by this module,partial,"per-field provenance identity, per-field as-of date, and revision resolution. Building any of the three would require evidence structures the repository does not hold, so none is fabricated.","none in this run. No qualification object is exposed to synthesis, so nothing downstream consumes a quality score, fabricated or otherwise. Category 9 remains non-voting and excluded from the category rollup."
B2.13,known: the module declares them through check_inputs and abstains with missing_required_input when one is absent,"partly: signal_inputs.sources records a document TYPE per field, never a document identity or version, so a field cannot be traced to the artefact that produced it","partly: period_cutoff bounds every computation and C1.2 measures document age against it, but no per-field as-of date exists, so a stale field inside a current period is not detectable",NOT AVAILABLE: no module knows whether a required revision was resolved. Document versioning exists at the document level and is not joined to the field a module reads.,not required by this module,partial,"per-field provenance identity, per-field as-of date, and revision resolution. Building any of the three would require evidence structures the repository does not hold, so none is fabricated.","none in this run. No qualification object is exposed to synthesis, so nothing downstream consumes a quality score, fabricated or otherwise. Category 9 remains non-voting and excluded from the category rollup."
B2.14,known: the module declares them through check_inputs and abstains with missing_required_input when one is absent,"partly: signal_inputs.sources records a document TYPE per field, never a document identity or version, so a field cannot be traced to the artefact that produced it","partly: period_cutoff bounds every computation and C1.2 measures document age against it, but no per-field as-of date exists, so a stale field inside a current period is not detectable",NOT AVAILABLE: no module knows whether a required revision was resolved. Document versioning exists at the document level and is not joined to the field a module reads.,not required by this module,partial,"per-field provenance identity, per-field as-of date, and revision resolution. Building any of the three would require evidence structures the repository does not hold, so none is fabricated.","none in this run. No qualification object is exposed to synthesis, so nothing downstream consumes a quality score, fabricated or otherwise. Category 9 remains non-voting and excluded from the category rollup."
B2.15,known: the module declares them through check_inputs and abstains with missing_required_input when one is absent,"partly: signal_inputs.sources records a document TYPE per field, never a document identity or version, so a field cannot be traced to the artefact that produced it","partly: period_cutoff bounds every computation and C1.2 measures document age against it, but no per-field as-of date exists, so a stale field inside a current period is not detectable",NOT AVAILABLE: no module knows whether a required revision was resolved. Document versioning exists at the document level and is not joined to the field a module reads.,not required by this module,partial,"per-field provenance identity, per-field as-of date, and revision resolution. Building any of the three would require evidence structures the repository does not hold, so none is fabricated.","none in this run. No qualification object is exposed to synthesis, so nothing downstream consumes a quality score, fabricated or otherwise. Category 9 remains non-voting and excluded from the category rollup."
B2.16,known: the module declares them through check_inputs and abstains with missing_required_input when one is absent,"partly: signal_inputs.sources records a document TYPE per field, never a document identity or version, so a field cannot be traced to the artefact that produced it","partly: period_cutoff bounds every computation and C1.2 measures document age against it, but no per-field as-of date exists, so a stale field inside a current period is not detectable",NOT AVAILABLE: no module knows whether a required revision was resolved. Document versioning exists at the document level and is not joined to the field a module reads.,not required by this module,partial,"per-field provenance identity, per-field as-of date, and revision resolution. Building any of the three would require evidence structures the repository does not hold, so none is fabricated.","none in this run. No qualification object is exposed to synthesis, so nothing downstream consumes a quality score, fabricated or otherwise. Category 9 remains non-voting and excluded from the category rollup."
B2.17,known: the module declares them through check_inputs and abstains with missing_required_input when one is absent,"partly: signal_inputs.sources records a document TYPE per field, never a document identity or version, so a field cannot be traced to the artefact that produced it","partly: period_cutoff bounds every computation and C1.2 measures document age against it, but no per-field as-of date exists, so a stale field inside a current period is not detectable",NOT AVAILABLE: no module knows whether a required revision was resolved. Document versioning exists at the document level and is not joined to the field a module reads.,not required by this module,partial,"per-field provenance identity, per-field as-of date, and revision resolution. Building any of the three would require evidence structures the repository does not hold, so none is fabricated.","none in this run. No qualification object is exposed to synthesis, so nothing downstream consumes a quality score, fabricated or otherwise. Category 9 remains non-voting and excluded from the category rollup."
B2.18,known: the module declares them through check_inputs and abstains with missing_required_input when one is absent,"partly: signal_inputs.sources records a document TYPE per field, never a document identity or version, so a field cannot be traced to the artefact that produced it","partly: period_cutoff bounds every computation and C1.2 measures document age against it, but no per-field as-of date exists, so a stale field inside a current period is not detectable",NOT AVAILABLE: no module knows whether a required revision was resolved. Document versioning exists at the document level and is not joined to the field a module reads.,not required by this module,partial,"per-field provenance identity, per-field as-of date, and revision resolution. Building any of the three would require evidence structures the repository does not hold, so none is fabricated.","none in this run. No qualification object is exposed to synthesis, so nothing downstream consumes a quality score, fabricated or otherwise. Category 9 remains non-voting and excluded from the category rollup."
B2.19,known: the module declares them through check_inputs and abstains with missing_required_input when one is absent,"partly: signal_inputs.sources records a document TYPE per field, never a document identity or version, so a field cannot be traced to the artefact that produced it","partly: period_cutoff bounds every computation and C1.2 measures document age against it, but no per-field as-of date exists, so a stale field inside a current period is not detectable",NOT AVAILABLE: no module knows whether a required revision was resolved. Document versioning exists at the document level and is not joined to the field a module reads.,enforced,partial,"per-field provenance identity, per-field as-of date, and revision resolution. Building any of the three would require evidence structures the repository does not hold, so none is fabricated.","none in this run. No qualification object is exposed to synthesis, so nothing downstream consumes a quality score, fabricated or otherwise. Category 9 remains non-voting and excluded from the category rollup."
B2.20,"n/a: disabled, refused before its formula is reached","partly: signal_inputs.sources records a document TYPE per field, never a document identity or version, so a field cannot be traced to the artefact that produced it","partly: period_cutoff bounds every computation and C1.2 measures document age against it, but no per-field as-of date exists, so a stale field inside a current period is not detectable",NOT AVAILABLE: no module knows whether a required revision was resolved. Document versioning exists at the document level and is not joined to the field a module reads.,not required by this module,partial,"per-field provenance identity, per-field as-of date, and revision resolution. Building any of the three would require evidence structures the repository does not hold, so none is fabricated.","none in this run. No qualification object is exposed to synthesis, so nothing downstream consumes a quality score, fabricated or otherwise. Category 9 remains non-voting and excluded from the category rollup."
B3.1,known: the module declares them through check_inputs and abstains with missing_required_input when one is absent,"partly: signal_inputs.sources records a document TYPE per field, never a document identity or version, so a field cannot be traced to the artefact that produced it","partly: period_cutoff bounds every computation and C1.2 measures document age against it, but no per-field as-of date exists, so a stale field inside a current period is not detectable",NOT AVAILABLE: no module knows whether a required revision was resolved. Document versioning exists at the document level and is not joined to the field a module reads.,not required by this module,partial,"per-field provenance identity, per-field as-of date, and revision resolution. Building any of the three would require evidence structures the repository does not hold, so none is fabricated.","none in this run. No qualification object is exposed to synthesis, so nothing downstream consumes a quality score, fabricated or otherwise. Category 9 remains non-voting and excluded from the category rollup."
B3.2,known: the module declares them through check_inputs and abstains with missing_required_input when one is absent,"partly: signal_inputs.sources records a document TYPE per field, never a document identity or version, so a field cannot be traced to the artefact that produced it","partly: period_cutoff bounds every computation and C1.2 measures document age against it, but no per-field as-of date exists, so a stale field inside a current period is not detectable",NOT AVAILABLE: no module knows whether a required revision was resolved. Document versioning exists at the document level and is not joined to the field a module reads.,not required by this module,partial,"per-field provenance identity, per-field as-of date, and revision resolution. Building any of the three would require evidence structures the repository does not hold, so none is fabricated.","none in this run. No qualification object is exposed to synthesis, so nothing downstream consumes a quality score, fabricated or otherwise. Category 9 remains non-voting and excluded from the category rollup."
B3.3,known: the module declares them through check_inputs and abstains with missing_required_input when one is absent,"partly: signal_inputs.sources records a document TYPE per field, never a document identity or version, so a field cannot be traced to the artefact that produced it","partly: period_cutoff bounds every computation and C1.2 measures document age against it, but no per-field as-of date exists, so a stale field inside a current period is not detectable",NOT AVAILABLE: no module knows whether a required revision was resolved. Document versioning exists at the document level and is not joined to the field a module reads.,not required by this module,partial,"per-field provenance identity, per-field as-of date, and revision resolution. Building any of the three would require evidence structures the repository does not hold, so none is fabricated.","none in this run. No qualification object is exposed to synthesis, so nothing downstream consumes a quality score, fabricated or otherwise. Category 9 remains non-voting and excluded from the category rollup."
B3.4,known: the module declares them through check_inputs and abstains with missing_required_input when one is absent,"partly: signal_inputs.sources records a document TYPE per field, never a document identity or version, so a field cannot be traced to the artefact that produced it","partly: period_cutoff bounds every computation and C1.2 measures document age against it, but no per-field as-of date exists, so a stale field inside a current period is not detectable",NOT AVAILABLE: no module knows whether a required revision was resolved. Document versioning exists at the document level and is not joined to the field a module reads.,not required by this module,partial,"per-field provenance identity, per-field as-of date, and revision resolution. Building any of the three would require evidence structures the repository does not hold, so none is fabricated.","none in this run. No qualification object is exposed to synthesis, so nothing downstream consumes a quality score, fabricated or otherwise. Category 9 remains non-voting and excluded from the category rollup."
B3.5,known: the module declares them through check_inputs and abstains with missing_required_input when one is absent,"partly: signal_inputs.sources records a document TYPE per field, never a document identity or version, so a field cannot be traced to the artefact that produced it","partly: period_cutoff bounds every computation and C1.2 measures document age against it, but no per-field as-of date exists, so a stale field inside a current period is not detectable",NOT AVAILABLE: no module knows whether a required revision was resolved. Document versioning exists at the document level and is not joined to the field a module reads.,not required by this module,partial,"per-field provenance identity, per-field as-of date, and revision resolution. Building any of the three would require evidence structures the repository does not hold, so none is fabricated.","none in this run. No qualification object is exposed to synthesis, so nothing downstream consumes a quality score, fabricated or otherwise. Category 9 remains non-voting and excluded from the category rollup."
B4.1,"n/a: disabled, refused before its formula is reached","partly: signal_inputs.sources records a document TYPE per field, never a document identity or version, so a field cannot be traced to the artefact that produced it","partly: period_cutoff bounds every computation and C1.2 measures document age against it, but no per-field as-of date exists, so a stale field inside a current period is not detectable",NOT AVAILABLE: no module knows whether a required revision was resolved. Document versioning exists at the document level and is not joined to the field a module reads.,not required by this module,partial,"per-field provenance identity, per-field as-of date, and revision resolution. Building any of the three would require evidence structures the repository does not hold, so none is fabricated.","none in this run. No qualification object is exposed to synthesis, so nothing downstream consumes a quality score, fabricated or otherwise. Category 9 remains non-voting and excluded from the category rollup."
B4.2,"n/a: disabled, refused before its formula is reached","partly: signal_inputs.sources records a document TYPE per field, never a document identity or version, so a field cannot be traced to the artefact that produced it","partly: period_cutoff bounds every computation and C1.2 measures document age against it, but no per-field as-of date exists, so a stale field inside a current period is not detectable",NOT AVAILABLE: no module knows whether a required revision was resolved. Document versioning exists at the document level and is not joined to the field a module reads.,not required by this module,partial,"per-field provenance identity, per-field as-of date, and revision resolution. Building any of the three would require evidence structures the repository does not hold, so none is fabricated.","none in this run. No qualification object is exposed to synthesis, so nothing downstream consumes a quality score, fabricated or otherwise. Category 9 remains non-voting and excluded from the category rollup."
B4.3,known: the module declares them through check_inputs and abstains with missing_required_input when one is absent,"partly: signal_inputs.sources records a document TYPE per field, never a document identity or version, so a field cannot be traced to the artefact that produced it","partly: period_cutoff bounds every computation and C1.2 measures document age against it, but no per-field as-of date exists, so a stale field inside a current period is not detectable",NOT AVAILABLE: no module knows whether a required revision was resolved. Document versioning exists at the document level and is not joined to the field a module reads.,not required by this module,partial,"per-field provenance identity, per-field as-of date, and revision resolution. Building any of the three would require evidence structures the repository does not hold, so none is fabricated.","none in this run. No qualification object is exposed to synthesis, so nothing downstream consumes a quality score, fabricated or otherwise. Category 9 remains non-voting and excluded from the category rollup."
