module_id,module_name,prior_claim,evidence_available,corrected_claim,qualification,registry_derived,result,implementation_status,known_answer_verification_status,boundary_test_status,band_source_status,calibration_status,empirical_validation_status,canonical_structure_status,voting_status,permitted_claim
A5.2,Sensitivity Analysis,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: known-answer case in the Run 6 suite; boundary: domain and boundary enumeration recorded in a committed audit artefact; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Arithmetic independently verified for the stated formula.,"Not validated and not calibrated. No empirical evidence of predictive performance is held for this module. Stated proxy: local CPI perturbation plus deviations, not calibrated multivariate sensitivity.",yes,CORRECTED,implemented and computed by the server,known-answer case in the Run 6 suite,domain and boundary enumeration recorded in a committed audit artefact,stated proxy qualifier present,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Arithmetic independently verified for the stated formula.
A5.3,Tornado Risk Ranking,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: known-answer case in the Run 6 suite; boundary: domain and boundary enumeration recorded in a committed audit artefact; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Arithmetic independently verified for the stated formula.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module. Stated proxy: a ranking of four present-state deviations; no outcome-response ranges estimated.,yes,CORRECTED,implemented and computed by the server,known-answer case in the Run 6 suite,domain and boundary enumeration recorded in a committed audit artefact,stated proxy qualifier present,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Arithmetic independently verified for the stated formula.
A5.4,Scenario Modeling,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: none in the repository; boundary: domain and boundary enumeration recorded in a committed audit artefact; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Implemented as stated. No independent verification of its arithmetic is held in the repository.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module.,yes,QUALIFIED,implemented and computed by the server,none in the repository,domain and boundary enumeration recorded in a committed audit artefact,band boundaries sourced or definitional; see the module's band note,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,required and enforced by the canonical-structure layer,does not vote,Implemented as stated. No independent verification of its arithmetic is held in the repository.
A5.5,Rework Feedback Loop,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: none in the repository; boundary: domain and boundary enumeration recorded in a committed audit artefact; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Implemented as stated. No independent verification of its arithmetic is held in the repository.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module.,yes,QUALIFIED,implemented and computed by the server,none in the repository,domain and boundary enumeration recorded in a committed audit artefact,band boundaries sourced or definitional; see the module's band note,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Implemented as stated. No independent verification of its arithmetic is held in the repository.
A5.6,Queueing Theory Bottleneck,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: none in the repository; boundary: domain and boundary enumeration recorded in a committed audit artefact; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Implemented as stated. No independent verification of its arithmetic is held in the repository.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module.,yes,QUALIFIED,implemented and computed by the server,none in the repository,domain and boundary enumeration recorded in a committed audit artefact,band boundaries sourced or definitional; see the module's band note,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,required and enforced by the canonical-structure layer,does not vote,Implemented as stated. No independent verification of its arithmetic is held in the repository.
A5.7,Agent-Based Supply Chain,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: none in the repository; boundary: domain and boundary enumeration recorded in a committed audit artefact; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Implemented as stated. No independent verification of its arithmetic is held in the repository.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module.,yes,QUALIFIED,implemented and computed by the server,none in the repository,domain and boundary enumeration recorded in a committed audit artefact,band boundaries sourced or definitional; see the module's band note,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,required and enforced by the canonical-structure layer,does not vote,Implemented as stated. No independent verification of its arithmetic is held in the repository.
A5.8,Discrete Event Simulation,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: none in the repository; boundary: domain and boundary enumeration recorded in a committed audit artefact; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Implemented as stated. No independent verification of its arithmetic is held in the repository.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module.,yes,QUALIFIED,implemented and computed by the server,none in the repository,domain and boundary enumeration recorded in a committed audit artefact,band boundaries sourced or definitional; see the module's band note,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Implemented as stated. No independent verification of its arithmetic is held in the repository.
A6.1,Quality Compliance Index,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: none in the repository; boundary: domain and boundary enumeration recorded in a committed audit artefact; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Implemented as stated. No independent verification of its arithmetic is held in the repository.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module.,yes,QUALIFIED,implemented and computed by the server,none in the repository,domain and boundary enumeration recorded in a committed audit artefact,band boundaries sourced or definitional; see the module's band note,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Implemented as stated. No independent verification of its arithmetic is held in the repository.
A6.2,Safety Performance Index,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: none in the repository; boundary: domain and boundary enumeration recorded in a committed audit artefact; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Implemented as stated. No independent verification of its arithmetic is held in the repository.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module.,yes,QUALIFIED,implemented and computed by the server,none in the repository,domain and boundary enumeration recorded in a committed audit artefact,band boundaries sourced or definitional; see the module's band note,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Implemented as stated. No independent verification of its arithmetic is held in the repository.
A6.3,Environmental Compliance Rate,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: none in the repository; boundary: domain and boundary enumeration recorded in a committed audit artefact; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Implemented as stated. No independent verification of its arithmetic is held in the repository.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module.,yes,QUALIFIED,implemented and computed by the server,none in the repository,domain and boundary enumeration recorded in a committed audit artefact,band boundaries sourced or definitional; see the module's band note,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,required and enforced by the canonical-structure layer,does not vote,Implemented as stated. No independent verification of its arithmetic is held in the repository.
A6.4,Contractor Performance Score,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: none in the repository; boundary: domain and boundary enumeration recorded in a committed audit artefact; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Implemented as stated. No independent verification of its arithmetic is held in the repository.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module.,yes,QUALIFIED,implemented and computed by the server,none in the repository,domain and boundary enumeration recorded in a committed audit artefact,band boundaries sourced or definitional; see the module's band note,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Implemented as stated. No independent verification of its arithmetic is held in the repository.
B1.1,Conservative Dominance,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: known-answer case in the Run 6 suite; boundary: none in the repository; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Arithmetic independently verified for the stated formula.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module.,yes,CORRECTED,implemented and computed by the server,known-answer case in the Run 6 suite,none in the repository,band boundaries sourced or definitional; see the module's band note,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Arithmetic independently verified for the stated formula.
B1.2,Weighted Voting,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: known-answer case in the Run 6 suite; boundary: none in the repository; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Arithmetic independently verified for the stated formula.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module.,yes,CORRECTED,implemented and computed by the server,known-answer case in the Run 6 suite,none in the repository,band boundaries sourced or definitional; see the module's band note,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Arithmetic independently verified for the stated formula.
B1.3,Majority Rules,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: known-answer case in the Run 6 suite; boundary: none in the repository; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Arithmetic independently verified for the stated formula.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module.,yes,CORRECTED,implemented and computed by the server,known-answer case in the Run 6 suite,none in the repository,band boundaries sourced or definitional; see the module's band note,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Arithmetic independently verified for the stated formula.
B1.4,Worst-N-of-M,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: known-answer case in the Run 6 suite; boundary: none in the repository; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Arithmetic independently verified for the stated formula.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module.,yes,CORRECTED,implemented and computed by the server,known-answer case in the Run 6 suite,none in the repository,band boundaries sourced or definitional; see the module's band note,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Arithmetic independently verified for the stated formula.
B2.1,Dempster-Shafer,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: known-answer case in the Run 6 suite; boundary: none in the repository; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Arithmetic independently verified for the stated formula.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module.,yes,CORRECTED,implemented and computed by the server,known-answer case in the Run 6 suite,none in the repository,band boundaries sourced or definitional; see the module's band note,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Arithmetic independently verified for the stated formula.
B2.2,Rough Sets,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: known-answer case in the Run 6 suite; boundary: none in the repository; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Arithmetic independently verified for the stated formula.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module.,yes,CORRECTED,implemented and computed by the server,known-answer case in the Run 6 suite,none in the repository,band boundaries sourced or definitional; see the module's band note,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Arithmetic independently verified for the stated formula.
B2.3,Neutrosophic Logic,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: known-answer case in the Run 6 suite; boundary: none in the repository; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Arithmetic independently verified for the stated formula.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module.,yes,CORRECTED,implemented and computed by the server,known-answer case in the Run 6 suite,none in the repository,band boundaries sourced or definitional; see the module's band note,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Arithmetic independently verified for the stated formula.
B2.4,Interval Fuzzy Sets,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: known-answer case in the Run 6 suite; boundary: none in the repository; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Arithmetic independently verified for the stated formula.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module.,yes,CORRECTED,implemented and computed by the server,known-answer case in the Run 6 suite,none in the repository,band boundaries sourced or definitional; see the module's band note,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Arithmetic independently verified for the stated formula.
B2.5,Z-numbers,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: known-answer case in the Run 6 suite; boundary: none in the repository; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Arithmetic independently verified for the stated formula.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module.,yes,CORRECTED,implemented and computed by the server,known-answer case in the Run 6 suite,none in the repository,band boundaries sourced or definitional; see the module's band note,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Arithmetic independently verified for the stated formula.
B2.6,PLTS,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: known-answer case in the Run 6 suite; boundary: none in the repository; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Arithmetic independently verified for the stated formula.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module.,yes,CORRECTED,implemented and computed by the server,known-answer case in the Run 6 suite,none in the repository,band boundaries sourced or definitional; see the module's band note,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Arithmetic independently verified for the stated formula.
B2.7,Plithogenic Sets,no per-module claim (disabled),known answer: none in the repository; boundary: none in the repository; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,No claim. The module is disabled and does not compute.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module.,yes,NO CLAIM,"disabled: concept only, refused before its formula is reached",none in the repository,none in the repository,band boundaries sourced or definitional; see the module's band note,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,No claim. The module is disabled and does not compute.
B2.8,Belief Rule Base,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: known-answer case in the Run 6 suite; boundary: none in the repository; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Arithmetic independently verified for the stated formula.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module.,yes,CORRECTED,implemented and computed by the server,known-answer case in the Run 6 suite,none in the repository,band boundaries sourced or definitional; see the module's band note,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Arithmetic independently verified for the stated formula.
B2.9,Quantum Probability,no per-module claim (disabled),known answer: none in the repository; boundary: none in the repository; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,No claim. The module is disabled and does not compute.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module.,yes,NO CLAIM,"disabled: concept only, refused before its formula is reached",none in the repository,none in the repository,band boundaries sourced or definitional; see the module's band note,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,No claim. The module is disabled and does not compute.
B2.10,Pythagorean Fuzzy Sets,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: known-answer case in the Run 6 suite; boundary: none in the repository; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Arithmetic independently verified for the stated formula.,"Not validated and not calibrated. No empirical evidence of predictive performance is held for this module. Stated proxy: hard-coded transformations of raw CPI, SPI and document risk.",yes,CORRECTED,implemented and computed by the server,known-answer case in the Run 6 suite,none in the repository,stated proxy qualifier present,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Arithmetic independently verified for the stated formula.
B2.11,Picture Fuzzy Sets,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: known-answer case in the Run 6 suite; boundary: none in the repository; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Arithmetic independently verified for the stated formula.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module. Stated proxy: hard-coded memberships consuming raw metrics; no calibration evidenced.,yes,CORRECTED,implemented and computed by the server,known-answer case in the Run 6 suite,none in the repository,stated proxy qualifier present,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Arithmetic independently verified for the stated formula.
B2.12,Hesitant Fuzzy Sets,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: known-answer case in the Run 6 suite; boundary: none in the repository; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Arithmetic independently verified for the stated formula.,"Not validated and not calibrated. No empirical evidence of predictive performance is held for this module. Stated proxy: designed perturbations, not elicited or observed hesitant assessments.",yes,CORRECTED,implemented and computed by the server,known-answer case in the Run 6 suite,none in the repository,stated proxy qualifier present,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Arithmetic independently verified for the stated formula.
B2.13,Type-2 Fuzzy Sets,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: known-answer case in the Run 6 suite; boundary: none in the repository; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Arithmetic independently verified for the stated formula.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module. Stated proxy: membership intervals that are designed constants.,yes,CORRECTED,implemented and computed by the server,known-answer case in the Run 6 suite,none in the repository,stated proxy qualifier present,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Arithmetic independently verified for the stated formula.
B2.14,Maximum Entropy,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: known-answer case in the Run 6 suite; boundary: none in the repository; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Arithmetic independently verified for the stated formula.,"Not validated and not calibrated. No empirical evidence of predictive performance is held for this module. Stated proxy: entropy over designed state probabilities; measures the lookup, not the project.",yes,CORRECTED,implemented and computed by the server,known-answer case in the Run 6 suite,none in the repository,stated proxy qualifier present,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Arithmetic independently verified for the stated formula.
B2.15,Possibility Theory,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: known-answer case in the Run 6 suite; boundary: none in the repository; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Arithmetic independently verified for the stated formula.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module. Stated proxy: fixed mappings from raw metrics; no governed possibility distribution.,yes,CORRECTED,implemented and computed by the server,known-answer case in the Run 6 suite,none in the repository,stated proxy qualifier present,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Arithmetic independently verified for the stated formula.
B2.16,Spherical Fuzzy Sets,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: known-answer case in the Run 6 suite; boundary: none in the repository; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Arithmetic independently verified for the stated formula.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module. Stated proxy: algebraically bounded but fixed memberships on raw unqualified inputs.,yes,CORRECTED,implemented and computed by the server,known-answer case in the Run 6 suite,none in the repository,stated proxy qualifier present,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Arithmetic independently verified for the stated formula.
B2.17,Fermatean Fuzzy Sets,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: known-answer case in the Run 6 suite; boundary: none in the repository; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Arithmetic independently verified for the stated formula.,"Not validated and not calibrated. No empirical evidence of predictive performance is held for this module. Stated proxy: formula-shaped with designed memberships, no empirical or elicitation basis.",yes,CORRECTED,implemented and computed by the server,known-answer case in the Run 6 suite,none in the repository,stated proxy qualifier present,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Arithmetic independently verified for the stated formula.
B2.18,MARCOS Ranking,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: none in the repository; boundary: domain and boundary enumeration recorded in a committed audit artefact; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Implemented as stated. No independent verification of its arithmetic is held in the repository.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module.,yes,QUALIFIED,implemented and computed by the server,none in the repository,domain and boundary enumeration recorded in a committed audit artefact,band boundaries sourced or definitional; see the module's band note,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Implemented as stated. No independent verification of its arithmetic is held in the repository.
B2.19,CRITIC-TOPSIS,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: none in the repository; boundary: domain and boundary enumeration recorded in a committed audit artefact; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Implemented as stated. No independent verification of its arithmetic is held in the repository.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module.,yes,QUALIFIED,implemented and computed by the server,none in the repository,domain and boundary enumeration recorded in a committed audit artefact,band boundaries sourced or definitional; see the module's band note,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,required and enforced by the canonical-structure layer,does not vote,Implemented as stated. No independent verification of its arithmetic is held in the repository.
B2.20,Hypersoft Sets,no per-module claim (disabled),known answer: none in the repository; boundary: none in the repository; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,No claim. The module is disabled and does not compute.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module.,yes,NO CLAIM,"disabled: concept only, refused before its formula is reached",none in the repository,none in the repository,band boundaries sourced or definitional; see the module's band note,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,No claim. The module is disabled and does not compute.
B3.1,ABM Governance Layer,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: known-answer case in the Run 6 suite; boundary: none in the repository; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Arithmetic independently verified for the stated formula.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module.,yes,CORRECTED,implemented and computed by the server,known-answer case in the Run 6 suite,none in the repository,band boundaries sourced or definitional; see the module's band note,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Arithmetic independently verified for the stated formula.
B3.2,FAR Threshold Monitor,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: known-answer case in the Run 6 suite; boundary: domain and boundary enumeration recorded in a committed audit artefact; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Arithmetic independently verified for the stated formula.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module.,yes,CORRECTED,implemented and computed by the server,known-answer case in the Run 6 suite,domain and boundary enumeration recorded in a committed audit artefact,band boundaries sourced or definitional; see the module's band note,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Arithmetic independently verified for the stated formula.
B3.3,OMB A-11 Check,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: known-answer case in the Run 6 suite; boundary: none in the repository; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Arithmetic independently verified for the stated formula.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module.,yes,CORRECTED,implemented and computed by the server,known-answer case in the Run 6 suite,none in the repository,band boundaries sourced or definitional; see the module's band note,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Arithmetic independently verified for the stated formula.
B3.4,EVM Reporting Threshold,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: known-answer case in the Run 6 suite; boundary: none in the repository; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Arithmetic independently verified for the stated formula.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module.,yes,CORRECTED,implemented and computed by the server,known-answer case in the Run 6 suite,none in the repository,band boundaries sourced or definitional; see the module's band note,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Arithmetic independently verified for the stated formula.
B3.5,Contract Modification Frequency,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: known-answer case in the Run 6 suite; boundary: none in the repository; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Arithmetic independently verified for the stated formula.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module. Stated proxy: a raw modification count; not a frequency without a denominator.,yes,CORRECTED,implemented and computed by the server,known-answer case in the Run 6 suite,none in the repository,stated proxy qualifier present,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Arithmetic independently verified for the stated formula.
B4.1,Multi-Objective Optimization,no per-module claim (disabled),known answer: none in the repository; boundary: none in the repository; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,No claim. The module is disabled and does not compute.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module.,yes,NO CLAIM,"disabled: concept only, refused before its formula is reached",none in the repository,none in the repository,band boundaries sourced or definitional; see the module's band note,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,No claim. The module is disabled and does not compute.
B4.2,Linear Programming,no per-module claim (disabled),known answer: none in the repository; boundary: none in the repository; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,No claim. The module is disabled and does not compute.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module.,yes,NO CLAIM,"disabled: concept only, refused before its formula is reached",none in the repository,none in the repository,band boundaries sourced or definitional; see the module's band note,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,No claim. The module is disabled and does not compute.
B4.3,Constraint Satisfaction Analysis,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: known-answer case in the Run 6 suite; boundary: none in the repository; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Arithmetic independently verified for the stated formula.,"Not validated and not calibrated. No empirical evidence of predictive performance is held for this module. Stated proxy: an explainable four-rule checklist, not a constraint-satisfaction solver.",yes,CORRECTED,implemented and computed by the server,known-answer case in the Run 6 suite,none in the repository,stated proxy qualifier present,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Arithmetic independently verified for the stated formula.
B4.4,What-If Scenario Matrix,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: known-answer case in the Run 6 suite; boundary: none in the repository; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Arithmetic independently verified for the stated formula.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module. Stated proxy: four deterministic EAC variants; not an action-by-scenario matrix or optimiser.,yes,CORRECTED,implemented and computed by the server,known-answer case in the Run 6 suite,none in the repository,stated proxy qualifier present,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Arithmetic independently verified for the stated formula.
