row_type,module,parameter,classification,applied,calibration_state,empirical_validation_state,allowed_under_policy,provenance
PARAMETER,B3.3,internal review levels and a band ladder,UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"These are internal review levels and are NOT regulatory values. Cycle 2 removed the assertions that a named instrument sets them, because no provision cited anywhere in this repository does. Under the frozen regulatory s"
PARAMETER,B3.4,internal review levels and a band ladder,UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"These are internal review levels and are NOT regulatory values. Cycle 2 removed the assertions that a named instrument sets them, because no provision cited anywhere in this repository does. Under the frozen regulatory s"
PARAMETER,B3.5,a joint ladder over a raw modification count and a growth percentage,UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The boundaries are design choices. No source in this repository, in the supervisory specification, or in any publication cited by this platform specifies a boundary for this quantity, so they are recorded as chosen rathe"
PARAMETER,B4.1,a four band ladder over the quantity the module reports,UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The boundaries are design choices. No source in this repository, in the supervisory specification, or in any publication cited by this platform specifies a boundary for this quantity, so they are recorded as chosen rathe"
PARAMETER,B4.2,a four band ladder over the quantity the module reports,UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The boundaries are design choices. No source in this repository, in the supervisory specification, or in any publication cited by this platform specifies a boundary for this quantity, so they are recorded as chosen rathe"
PARAMETER,B4.3,internal review levels and a band ladder,UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"These are internal review levels and are NOT regulatory values. Cycle 2 removed the assertions that a named instrument sets them, because no provision cited anywhere in this repository does. Under the frozen regulatory s"
PARAMETER,B4.4,a four band ladder over the quantity the module reports,UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The boundaries are design choices. No source in this repository, in the supervisory specification, or in any publication cited by this platform specifies a boundary for this quantity, so they are recorded as chosen rathe"
PARAMETER,B4.5,a four band ladder over the quantity the module reports,UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The boundaries are design choices. No source in this repository, in the supervisory specification, or in any publication cited by this platform specifies a boundary for this quantity, so they are recorded as chosen rathe"
PARAMETER,B4.6,a four band ladder over the quantity the module reports,UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The boundaries are design choices. No source in this repository, in the supervisory specification, or in any publication cited by this platform specifies a boundary for this quantity, so they are recorded as chosen rathe"
PARAMETER,C1.1,a four band ladder over the quantity the module reports,UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The boundaries are design choices. No source in this repository, in the supervisory specification, or in any publication cited by this platform specifies a boundary for this quantity, so they are recorded as chosen rathe"
PARAMETER,C1.2,a four band ladder over the quantity the module reports,UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The boundaries are design choices. No source in this repository, in the supervisory specification, or in any publication cited by this platform specifies a boundary for this quantity, so they are recorded as chosen rathe"
PARAMETER,C1.3,reliability weights applied to sources,UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The weights are an ad hoc split with no source. No publication, specification or owner policy in this repository fixes them, and no data exists from which they could be estimated."
PARAMETER,C1.4,a four band ladder over the quantity the module reports,UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The boundaries are design choices. No source in this repository, in the supervisory specification, or in any publication cited by this platform specifies a boundary for this quantity, so they are recorded as chosen rathe"
PARAMETER,C1.5,a four band ladder over the quantity the module reports,UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The boundaries are design choices. No source in this repository, in the supervisory specification, or in any publication cited by this platform specifies a boundary for this quantity, so they are recorded as chosen rathe"
PARAMETER,C1.6,a four band ladder over the quantity the module reports,UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The boundaries are design choices. No source in this repository, in the supervisory specification, or in any publication cited by this platform specifies a boundary for this quantity, so they are recorded as chosen rathe"
PARAMETER,C1.7,a four band ladder over the quantity the module reports,UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The boundaries are design choices. No source in this repository, in the supervisory specification, or in any publication cited by this platform specifies a boundary for this quantity, so they are recorded as chosen rathe"
PARAMETER,D1.1,a four band ladder over the quantity the module reports,UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The boundaries are design choices. No source in this repository, in the supervisory specification, or in any publication cited by this platform specifies a boundary for this quantity, so they are recorded as chosen rathe"
PARAMETER,D1.2,a four band ladder over the quantity the module reports,UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The boundaries are design choices. No source in this repository, in the supervisory specification, or in any publication cited by this platform specifies a boundary for this quantity, so they are recorded as chosen rathe"
PARAMETER,D1.3,a four band ladder over the quantity the module reports,UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The boundaries are design choices. No source in this repository, in the supervisory specification, or in any publication cited by this platform specifies a boundary for this quantity, so they are recorded as chosen rathe"
PARAMETER,D1.4,a four band ladder over the quantity the module reports,UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The boundaries are design choices. No source in this repository, in the supervisory specification, or in any publication cited by this platform specifies a boundary for this quantity, so they are recorded as chosen rathe"
PARAMETER,D1.5,"the weights over the anomaly components, which move with data availability",UNSUPPORTED,NO - the module abstains,NO_CALIBRATION_SET - no labelled outcome corpus and no expert reference standard exist in this repository,PENDING - not scored against any independent observed field outcome,ALLOWED,"The weights are renormalised over whichever components happen to be present, so the same project scores differently according to DATA AVAILABILITY, which is to say according to how much evidence it supplied. Governing th"
ACCEPTANCE_COUNTER,-,UNCLASSIFIED REACHABLE PARAMETERS,-,0,-,-,REQUIRED = 0,section 6 acceptance criterion
ACCEPTANCE_COUNTER,-,REACHABLE UNSUPPORTED PARAMETERS PRODUCING AUTHORITATIVE OUTPUT,-,0,-,-,REQUIRED = 0,section 6 hard gate; modules: none
