module_id,canonical_name,layer,category,enabled,disabled,voting,implementation_path,expected_method_from_registry,actual_method_implemented,required_inputs,canonical_structure_required,canonical_structure_used,test_cases_executed,nominal_result,expected_nominal_result,boundary_result,domain_result,missingness_result,malformed_input_result,canonical_structure_result,property_test_result,real_execution_path_result,mutation_proof_result,browser_parity_if_applicable,portfolio_behavior_if_applicable,observed_discrepancies,defect_class_if_observed,severity_if_observed,oracle_source,oracle_confidence,verification_limitations,production_change_required_to_match_current_contract,factual_result
A3.6,Cost Risk Analysis P80,PROJECT,A3,YES,NO,NO,server/app/simulation/models_ext.py::run_cost_risk,Cost Risk Analysis P80,models_ext.run_cost_risk,"bac, cpi",,,26,"computed, band Amber",value fixed by a committed hand-derived known-answer case,"2 numeric inputs driven to zero, impossible, extreme and near-zero, and to negative where the field contract permits a negative","every reachable out-of-domain value contained; no upper bound on an unbounded quantity, a very large value bands better: cpi",2 single-input removals exercised; no removal improved the reading,6 malformed values x 2 inputs; a null value is contained; not contained in the analytical layer but refused upstream by the numeric contract: bac='not-a-number':TypeError; bac=nan:ValueError; bac=inf:OverflowError,NOT_APPLICABLE: no defining structure declared,deterministic on an identical input; band is inside the governed four-band vocabulary; abstention carries a reader sentence,computed on compute_project,"PROVEN: comparison operators reversed (6 sites, isolated copy)",recorded by the Gate 10 pass,,,,,"contract oracle: registry, canonical and abstention contracts (independent of production arithmetic); numeric oracle: hand-derived literals in test_run10_bucket2_corrections.py, test_run2_fifteen_defects.py, test_run8_retest_classify_27.py",MEDIUM,,,MATCH
A3.7,Analogous Estimating Ratio,PROJECT,A3,YES,NO,NO,server/app/simulation/models_ext.py::run_analogous_estimating,Analogous Estimating Ratio,"models_ext.run_analogous_estimating (proxy: an analogous-cost ratio; project selection, normalisation and adaptation ungover)","analogousOverrunPct, bac",,,27,"computed, band Amber",value fixed by a committed hand-derived known-answer case,"2 numeric inputs driven to zero, impossible, extreme and near-zero, and to negative where the field contract permits a negative",every reachable out-of-domain value contained,2 single-input removals exercised; no removal improved the reading,6 malformed values x 2 inputs; a null value is contained,NOT_APPLICABLE: no defining structure declared,deterministic on an identical input; band is inside the governed four-band vocabulary; abstention carries a reader sentence,computed on compute_project,"PROVEN: comparison operators reversed (3 sites, isolated copy)",recorded by the Gate 10 pass,,,,,"contract oracle: registry, canonical and abstention contracts (independent of production arithmetic); numeric oracle: hand-derived literals in test_run6_known_answer.py",MEDIUM,,,MATCH
A3.8,Parametric Cost Index,PROJECT,A3,NO,YES,NO,server/app/simulation/models_ext.py::run_parametric_cost,Parametric Cost Index,not executed: short-circuited in registry.run_module,,,,1,refused before the formula: Parametric Cost Index is disabled: it is a concept-only module with no production implementation of the analytical struc,"refusal, no arithmetic reached, no vote, no rollup",,,,,,,,,,,,,,registry.DISABLED_CONCEPT_ONLY and the Run 1 remediation record,HIGH,,,DISABLED_AS_DESIGNED
A3.9,Inflation Adjustment Index,PROJECT,A3,YES,NO,NO,server/app/simulation/models_ext.py::run_inflation_adjustment,Inflation Adjustment Index,"models_ext.run_inflation_adjustment (proxy: a material-escalation ratio with no external price index, time base or geography)","actualPctComplete, materialCostBaseline, materialCostCurrent",,,37,"computed, band Red",value fixed by a committed hand-derived known-answer case,"3 numeric inputs driven to zero, impossible, extreme and near-zero, and to negative where the field contract permits a negative","every reachable out-of-domain value contained; no upper bound on an unbounded quantity, a very large value bands better: materialCostCurrent",3 single-input removals exercised; no removal improved the reading,6 malformed values x 3 inputs; a null value is contained,NOT_APPLICABLE: no defining structure declared,deterministic on an identical input; band is inside the governed four-band vocabulary; abstention carries a reader sentence,computed on compute_project,"PROVEN: comparison operators reversed (8 sites, isolated copy)",recorded by the Gate 10 pass,,,,,"contract oracle: registry, canonical and abstention contracts (independent of production arithmetic); numeric oracle: hand-derived literals in test_run6_known_answer.py",MEDIUM,,,MATCH
A4.1,Document Risk Score,PROJECT,A4,NO,NO,NO,,Document Risk Score,no implementation in this server,,,,1,MissingModuleError: A4.1 (Document Risk Score) has not been ported and validated against the JavaScript implementation; this server refuses to compute it,registry refuses loudly rather than approximating,,,,,,,,,,,,,,registry.py refusal contract,HIGH,"registered but not ported, so no arithmetic exists to test",,MATCH
A4.2,RFI Velocity,PROJECT,A4,YES,NO,NO,server/app/simulation/models_doc.py::run_rfi_velocity,RFI Velocity,models_doc.run_rfi_velocity,"rfiAvgResponseDays, rfiCount, rfiNumber, rfiOldestOpenDays, rfiOpen, rfiOverdue, rfiPeriodDays, rfiResponseTimeDays",,,92,"computed, band Red",value fixed by a committed hand-derived known-answer case,"8 numeric inputs driven to zero, impossible, extreme and near-zero, and to negative where the field contract permits a negative","every reachable out-of-domain value contained; no upper bound on an unbounded quantity, a very large value bands better: rfiPeriodDays",8 single-input removals exercised; no removal improved the reading,6 malformed values x 8 inputs; a null value is contained; not contained in the analytical layer but refused upstream by the numeric contract: rfiAvgResponseDays='not-a-number':TypeError; rfiAvgResponseDays=nan:non-finite output; rfiAvgResponseDays=inf:non-finite output,NOT_APPLICABLE: no defining structure declared,deterministic on an identical input; band is inside the governed four-band vocabulary; abstention carries a reader sentence,computed on compute_project,"PROVEN: comparison operators reversed (13 sites, isolated copy)",recorded by the Gate 10 pass,,,,,"contract oracle: registry, canonical and abstention contracts (independent of production arithmetic); numeric oracle: hand-derived literals in test_run6_known_answer.py",MEDIUM,,,MATCH
A4.3,Submittal Rejection Rate,PROJECT,A4,YES,NO,NO,server/app/simulation/models_doc.py::run_submittal_rejection,Submittal Rejection Rate,models_doc.run_submittal_rejection,"rfaAvgReviewDays, rfaOpen, rfaRejected, rfaResubmit, rfaTotal, submittalsRejected, submittalsTotal",,,81,"computed, band Yellow",value fixed by a committed hand-derived known-answer case,"7 numeric inputs driven to zero, impossible, extreme and near-zero, and to negative where the field contract permits a negative","every reachable out-of-domain value contained; no upper bound on an unbounded quantity, a very large value bands better: rfaTotal",7 single-input removals exercised; no removal improved the reading,6 malformed values x 7 inputs; a null value is contained; not contained in the analytical layer but refused upstream by the numeric contract: rfaRejected='not-a-number':TypeError; rfaRejected=nan:ValueError; rfaRejected=[]:TypeError,NOT_APPLICABLE: no defining structure declared,deterministic on an identical input; band is inside the governed four-band vocabulary; abstention carries a reader sentence,computed on compute_project,"PROVEN: comparison operators reversed (7 sites, isolated copy)",recorded by the Gate 10 pass,,,,,"contract oracle: registry, canonical and abstention contracts (independent of production arithmetic); numeric oracle: hand-derived literals in test_run6_known_answer.py",MEDIUM,,,MATCH
A4.4,NCR Rate,PROJECT,A4,YES,NO,NO,server/app/simulation/models_doc.py::run_ncr_rate,NCR Rate,models_doc.run_ncr_rate,"auditedNonconformanceCohort, ncrIssued, ncrOpen, totalFindings",auditedNonconformanceCohort,auditedNonconformanceCohort,49,"computed, band Yellow",value fixed by a committed hand-derived known-answer case,"3 numeric inputs driven to zero, impossible, extreme and near-zero, and to negative where the field contract permits a negative",every reachable out-of-domain value contained,4 single-input removals exercised; no removal improved the reading,6 malformed values x 4 inputs; a null value is contained,abstains without the structure and computes with it,deterministic on an identical input; band is inside the governed four-band vocabulary; abstention carries a reader sentence,computed on compute_project,"PROVEN: comparison operators reversed (6 sites, isolated copy)",recorded by the Gate 10 pass,,,,,"contract oracle: registry, canonical and abstention contracts (independent of production arithmetic); numeric oracle: hand-derived literals in test_run10b_canonical_integration.py, test_run2_fifteen_defects.py, test_run8_retest_classify_27.py",MEDIUM,,,MATCH
A4.5,Weather Day Impact,PROJECT,A4,YES,NO,NO,server/app/simulation/models_doc.py::run_weather_impact,Weather Day Impact,"models_doc.run_weather_impact (proxy: a lost-days over available-float ratio with ungoverned bands, computed only from)","consumedFloat, floatRemaining, totalFloat, weatherDaysLost",,,51,"computed, band Amber",value fixed by a committed hand-derived known-answer case,"4 numeric inputs driven to zero, impossible, extreme and near-zero, and to negative where the field contract permits a negative","every reachable out-of-domain value contained; no upper bound on an unbounded quantity, a very large value bands better: floatRemaining",4 single-input removals exercised; no removal improved the reading,6 malformed values x 4 inputs; a null value is contained; not contained in the analytical layer but refused upstream by the numeric contract: floatRemaining='not-a-number':TypeError; floatRemaining=inf:non-finite output; floatRemaining=[]:TypeError,NOT_APPLICABLE: no defining structure declared,deterministic on an identical input; band is inside the governed four-band vocabulary; abstention carries a reader sentence,computed on compute_project,"PROVEN: comparison operators reversed (4 sites, isolated copy)",recorded by the Gate 10 pass,,,,,"contract oracle: registry, canonical and abstention contracts (independent of production arithmetic); numeric oracle: hand-derived literals in test_run2_fifteen_defects.py, test_run6_known_answer.py",MEDIUM,,,MATCH
A4.6,Change Order Frequency,PROJECT,A4,YES,NO,NO,server/app/simulation/models_doc.py::run_co_frequency,Change Order Frequency,models_doc.run_co_frequency (proxy: contract growth plus a raw count; no time or exposure denominator),"baselineContractSum, changeOrderCount, revisedContractSum",,,37,"computed, band Amber",value fixed by a committed hand-derived known-answer case,"3 numeric inputs driven to zero, impossible, extreme and near-zero, and to negative where the field contract permits a negative",every reachable out-of-domain value contained,3 single-input removals exercised; no removal improved the reading,6 malformed values x 3 inputs; a null value is contained; not contained in the analytical layer but refused upstream by the numeric contract: baselineContractSum='not-a-number':TypeError; baselineContractSum=inf:non-finite output; baselineContractSum=[]:TypeError,NOT_APPLICABLE: no defining structure declared,deterministic on an identical input; band is inside the governed four-band vocabulary; abstention carries a reader sentence,computed on compute_project,"PROVEN: comparison operators reversed (7 sites, isolated copy)",recorded by the Gate 10 pass,,,,,"contract oracle: registry, canonical and abstention contracts (independent of production arithmetic); numeric oracle: hand-derived literals in test_run6_known_answer.py",MEDIUM,,,MATCH
A4.7,Dispute Escalation Index,PROJECT,A4,YES,NO,NO,server/app/simulation/models_doc.py::run_dispute_escalation,Dispute Escalation Index,models_doc.run_dispute_escalation (proxy: an ad hoc 0.3 / 0.3 / 0.4 weighted sum; weights and dependence uncalibrated),"changeOrderCount, docRiskScore, rfiCount",,,37,"computed, band Amber",value fixed by a committed hand-derived known-answer case,"3 numeric inputs driven to zero, impossible, extreme and near-zero, and to negative where the field contract permits a negative",every reachable out-of-domain value contained,3 single-input removals exercised; no removal improved the reading,6 malformed values x 3 inputs; a null value is contained,NOT_APPLICABLE: no defining structure declared,deterministic on an identical input; band is inside the governed four-band vocabulary; abstention carries a reader sentence,computed on compute_project,"PROVEN: comparison operators reversed (4 sites, isolated copy)",recorded by the Gate 10 pass,,,,,"contract oracle: registry, canonical and abstention contracts (independent of production arithmetic); numeric oracle: hand-derived literals in test_run6_known_answer.py, test_run7_fix_now_defects.py",MEDIUM,,,MATCH
A4.8,Subcontractor Performance,PROJECT,A4,YES,NO,NO,server/app/simulation/models_doc.py::run_subcontractor_performance,Subcontractor Performance,models_doc.run_subcontractor_performance (proxy: a precomputed compliance score; provenance and construction unvalidated),"docRiskScore, ncrOpen, outstandingActionItems, subcontractorComplianceScore, subcontractorIssuesDiscussed",,,59,"computed, band Green",value fixed by a committed hand-derived known-answer case,"5 numeric inputs driven to zero, impossible, extreme and near-zero, and to negative where the field contract permits a negative",every reachable out-of-domain value contained,5 single-input removals exercised; no removal improved the reading,6 malformed values x 5 inputs; a null value is contained; not contained in the analytical layer but refused upstream by the numeric contract: docRiskScore='not-a-number':TypeError; docRiskScore=inf:OverflowError; ncrOpen='not-a-number':TypeError,NOT_APPLICABLE: no defining structure declared,deterministic on an identical input; band is inside the governed four-band vocabulary; abstention carries a reader sentence,computed on compute_project,"PROVEN: comparison operators reversed (7 sites, isolated copy)",recorded by the Gate 10 pass,,,,,"contract oracle: registry, canonical and abstention contracts (independent of production arithmetic); numeric oracle: hand-derived literals in test_run6_known_answer.py",MEDIUM,,,MATCH
A4.9,Procurement Lead Time Monitor,PROJECT,A4,YES,NO,NO,server/app/simulation/models_doc.py::run_procurement_lead_time,Procurement Lead Time Monitor,models_doc.run_procurement_lead_time,"longLeadAtRisk, longLeadDelayed, longLeadItemsTotal",,,37,"ABSTAINED: More long-lead items are recorded delayed (3) than at risk (2), and a delayed item is an at-risk item that has slipped",value fixed by a committed hand-derived known-answer case,"3 numeric inputs driven to zero, impossible, extreme and near-zero, and to negative where the field contract permits a negative",every reachable out-of-domain value contained,3 single-input removals exercised; no removal improved the reading,6 malformed values x 3 inputs; a null value is contained,NOT_APPLICABLE: no defining structure declared,deterministic on an identical input; abstention carries a reader sentence,"abstained on compute_project, reason recorded","PROVEN: comparison operators reversed (8 sites, isolated copy)",recorded by the Gate 10 pass,,,,,"contract oracle: registry, canonical and abstention contracts (independent of production arithmetic); numeric oracle: hand-derived literals in test_run2_fifteen_defects.py, test_run6_known_answer.py",MEDIUM,,,MATCH
A4.10,Specification Conflict Density,PROJECT,A4,YES,NO,NO,server/app/simulation/models_doc.py::run_spec_conflict_density,Specification Conflict Density,models_doc.run_spec_conflict_density,"docRiskScore, rfiCount",,,26,"computed, band Red",value fixed by a committed hand-derived known-answer case,"2 numeric inputs driven to zero, impossible, extreme and near-zero, and to negative where the field contract permits a negative",every reachable out-of-domain value contained,2 single-input removals exercised; no removal improved the reading,6 malformed values x 2 inputs; a null value is contained,NOT_APPLICABLE: no defining structure declared,deterministic on an identical input; band is inside the governed four-band vocabulary; abstention carries a reader sentence,computed on compute_project,"PROVEN: comparison operators reversed (6 sites, isolated copy)",recorded by the Gate 10 pass,,,,,"contract oracle: registry, canonical and abstention contracts (independent of production arithmetic); numeric oracle: hand-derived literals in test_run10_bucket2_corrections.py, test_run8_retest_classify_27.py",MEDIUM,,,MATCH
A5.1,DSM Rework Propagation,PROJECT,A5,YES,NO,NO,server/app/simulation/models.py::run_dsm,DSM Rework Propagation,models.run_dsm,,,,4,"ABSTAINED: Insufficient data: no dependency matrix has been established for this project, so there is no record of which parts of the design depend on which others and a r",value fixed by a committed hand-derived known-answer case,"0 numeric inputs driven to zero, impossible, extreme and near-zero, and to negative where the field contract permits a negative",every reachable out-of-domain value contained,0 single-input removals exercised; no removal improved the reading,6 malformed values x 0 inputs; a null value is contained,NOT_APPLICABLE: no defining structure declared,deterministic on an identical input; abstention carries a reader sentence,"abstained on compute_project, reason recorded",UNCONDITIONAL_ABSTENTION_NO_FAULT_POSSIBLE: no fault site exists,recorded by the Gate 10 pass,,,,,"contract oracle: registry, canonical and abstention contracts (independent of production arithmetic); numeric oracle: hand-derived literals in test_run7_fix_now_defects.py, test_run8_retest_classify_27.py",MEDIUM,,,MATCH
A5.2,Sensitivity Analysis,PROJECT,A5,YES,NO,NO,server/app/simulation/models_doc.py::run_sensitivity_analysis,Sensitivity Analysis,"models_doc.run_sensitivity_analysis (proxy: local CPI perturbation plus deviations, not calibrated multivariate sensitivity)","bac, cpi, docRiskScore, spi",,,48,"computed, band Amber",value fixed by a committed hand-derived known-answer case,"4 numeric inputs driven to zero, impossible, extreme and near-zero, and to negative where the field contract permits a negative",every reachable out-of-domain value contained,4 single-input removals exercised; no removal improved the reading,6 malformed values x 4 inputs; a null value is contained; not contained in the analytical layer but refused upstream by the numeric contract: bac='not-a-number':TypeError; bac=nan:ValueError; bac=inf:ValueError,NOT_APPLICABLE: no defining structure declared,deterministic on an identical input; band is inside the governed four-band vocabulary; abstention carries a reader sentence,computed on compute_project,"PROVEN: comparison operators reversed (5 sites, isolated copy)",recorded by the Gate 10 pass,,,,,"contract oracle: registry, canonical and abstention contracts (independent of production arithmetic); numeric oracle: hand-derived literals in test_run6_known_answer.py",MEDIUM,,,MATCH
A5.3,Tornado Risk Ranking,PROJECT,A5,YES,NO,NO,server/app/simulation/models_doc.py::run_tornado_diagram,Tornado Risk Ranking,models_doc.run_tornado_diagram (proxy: a ranking of four present-state deviations; no outcome-response ranges estimated),"actualPctComplete, cpi, docRiskScore, plannedPctComplete, spi",,,59,"computed, band Amber",value fixed by a committed hand-derived known-answer case,"5 numeric inputs driven to zero, impossible, extreme and near-zero, and to negative where the field contract permits a negative",every reachable out-of-domain value contained,5 single-input removals exercised; no removal improved the reading,6 malformed values x 5 inputs; a null value is contained,NOT_APPLICABLE: no defining structure declared,deterministic on an identical input; band is inside the governed four-band vocabulary; abstention carries a reader sentence,computed on compute_project,"PROVEN: comparison operators reversed (11 sites, isolated copy)",recorded by the Gate 10 pass,,,,,"contract oracle: registry, canonical and abstention contracts (independent of production arithmetic); numeric oracle: hand-derived literals in test_run6_known_answer.py",MEDIUM,,,MATCH
A5.4,Scenario Modeling,PROJECT,A5,YES,NO,NO,server/app/simulation/models_doc.py::run_scenario_modeling,Scenario Modeling,models_doc.run_scenario_modeling,"ac, bac, cpi, ev, scenarioDecisionStructure, spi",scenarioDecisionStructure,scenarioDecisionStructure,71,"ABSTAINED: The decision information provided does not say which version of the reference material it came from, so a reading taken from it could not be interpreted later a",value fixed by a committed hand-derived known-answer case,"5 numeric inputs driven to zero, impossible, extreme and near-zero, and to negative where the field contract permits a negative",every reachable out-of-domain value contained,6 single-input removals exercised; no removal improved the reading,6 malformed values x 6 inputs; a null value is contained,DOES NOT ABSTAIN without the structure,deterministic on an identical input; abstention carries a reader sentence,"abstained on compute_project, reason recorded","PROVEN: comparison operators reversed (13 sites, isolated copy)",recorded by the Gate 10 pass,,does not abstain when its defining structure is absent,does not abstain when its defining structure is absent,ADVISORY ONLY,"contract oracle: registry, canonical and abstention contracts (independent of production arithmetic); numeric oracle: hand-derived literals in test_run10b_canonical_integration.py, test_run2_fifteen_defects.py, test_run8_retest_classify_27.py",MEDIUM,,,MISMATCH
A5.5,Rework Feedback Loop,PROJECT,A5,YES,NO,NO,server/app/simulation/models_doc.py::run_rework_feedback,Rework Feedback Loop,models_doc.run_rework_feedback,"changeOrderCount, cpi, rfiCount",,,37,"computed, band Red",value fixed by a committed hand-derived known-answer case,"3 numeric inputs driven to zero, impossible, extreme and near-zero, and to negative where the field contract permits a negative","every reachable out-of-domain value contained; no upper bound on an unbounded quantity, a very large value bands better: cpi",3 single-input removals exercised; no removal improved the reading,6 malformed values x 3 inputs; a null value is contained; not contained in the analytical layer but refused upstream by the numeric contract: cpi='not-a-number':TypeError; cpi=[]:TypeError; cpi={}:TypeError,NOT_APPLICABLE: no defining structure declared,deterministic on an identical input; band is inside the governed four-band vocabulary; abstention carries a reader sentence,computed on compute_project,"PROVEN: comparison operators reversed (4 sites, isolated copy)",recorded by the Gate 10 pass,,,,,"contract oracle: registry, canonical and abstention contracts (independent of production arithmetic); numeric oracle: hand-derived literals in test_run10_bucket2_corrections.py, test_run8_retest_classify_27.py",MEDIUM,,,MATCH
A5.6,Queueing Theory Bottleneck,PROJECT,A5,YES,NO,NO,server/app/simulation/models_doc.py::run_queueing_bottleneck,Queueing Theory Bottleneck,models_doc.run_queueing_bottleneck,,queueStructure,queueStructure,9,"computed, band Green",value fixed by a committed hand-derived known-answer case,"0 numeric inputs driven to zero, impossible, extreme and near-zero, and to negative where the field contract permits a negative",every reachable out-of-domain value contained,0 single-input removals exercised; no removal improved the reading,6 malformed values x 0 inputs; a null value is contained,abstains without the structure and computes with it,deterministic on an identical input; band is inside the governed four-band vocabulary; abstention carries a reader sentence,computed on compute_project,"PROVEN: comparison operators reversed (1 sites, isolated copy)",recorded by the Gate 10 pass,,,,,"contract oracle: registry, canonical and abstention contracts (independent of production arithmetic); numeric oracle: hand-derived literals in test_run10b_canonical_integration.py, test_run7_fix_now_defects.py, test_run8_retest_classify_27.py",MEDIUM,,,MATCH
A5.7,Agent-Based Supply Chain,PROJECT,A5,YES,NO,NO,server/app/simulation/models_doc.py::run_agent_supply_chain,Agent-Based Supply Chain,models_doc.run_agent_supply_chain,,abmStructure,abmStructure,9,"computed, band Yellow",value fixed by a committed hand-derived known-answer case,"0 numeric inputs driven to zero, impossible, extreme and near-zero, and to negative where the field contract permits a negative",every reachable out-of-domain value contained,0 single-input removals exercised; no removal improved the reading,6 malformed values x 0 inputs; a null value is contained,abstains without the structure and computes with it,deterministic on an identical input; band is inside the governed four-band vocabulary; abstention carries a reader sentence,computed on compute_project,"PROVEN: comparison operators reversed (3 sites, isolated copy)",recorded by the Gate 10 pass,,,,,"contract oracle: registry, canonical and abstention contracts (independent of production arithmetic); numeric oracle: hand-derived literals in test_run10b_canonical_integration.py, test_run8_retest_classify_27.py",MEDIUM,,,MATCH
A5.8,Discrete Event Simulation,PROJECT,A5,YES,NO,NO,server/app/simulation/models_doc.py::run_discrete_event_sim,Discrete Event Simulation,models_doc.run_discrete_event_sim,"actualPctComplete, plannedPctComplete, spi",,,37,"computed, band Yellow",value fixed by a committed hand-derived known-answer case,"3 numeric inputs driven to zero, impossible, extreme and near-zero, and to negative where the field contract permits a negative",every reachable out-of-domain value contained; out-of-domain favourable banding: actualPctComplete=impossible-large,3 single-input removals exercised; no removal improved the reading,6 malformed values x 3 inputs; a null value is contained; not contained in the analytical layer but refused upstream by the numeric contract: actualPctComplete='not-a-number':TypeError; actualPctComplete=[]:TypeError; actualPctComplete={}:TypeError,NOT_APPLICABLE: no defining structure declared,deterministic on an identical input; band is inside the governed four-band vocabulary; abstention carries a reader sentence,computed on compute_project,"PROVEN: comparison operators reversed (4 sites, isolated copy)",recorded by the Gate 10 pass,,out-of-domain input read as Green: actualPctComplete=impossible-large,out-of-domain input read as Green: actualPctComplete=impossible-large,ADVISORY ONLY,"contract oracle: registry, canonical and abstention contracts (independent of production arithmetic); numeric oracle: hand-derived literals in test_run10_bucket2_corrections.py, test_run8_retest_classify_27.py",MEDIUM,,,MISMATCH
A6.1,Quality Compliance Index,PROJECT,A6,YES,NO,NO,server/app/simulation/models_doc.py::run_quality_compliance,Quality Compliance Index,models_doc.run_quality_compliance,"itemsFailed, itemsInspected, qualityAuditScore, qualityDeficienciesNoted",,,48,"computed, band Green",value fixed by a committed hand-derived known-answer case,"4 numeric inputs driven to zero, impossible, extreme and near-zero, and to negative where the field contract permits a negative",every reachable out-of-domain value contained,4 single-input removals exercised; no removal improved the reading,6 malformed values x 4 inputs; a null value is contained; not contained in the analytical layer but refused upstream by the numeric contract: itemsFailed='not-a-number':TypeError; itemsFailed=nan:ValueError; itemsFailed=[]:TypeError,NOT_APPLICABLE: no defining structure declared,deterministic on an identical input; band is inside the governed four-band vocabulary; abstention carries a reader sentence,computed on compute_project,"PROVEN: comparison operators reversed (8 sites, isolated copy)",recorded by the Gate 10 pass,,,,,"contract oracle: registry, canonical and abstention contracts (independent of production arithmetic); numeric oracle: hand-derived literals in test_run10_bucket2_corrections.py, test_run2_fifteen_defects.py, test_run8_retest_classify_27.py",MEDIUM,,,MATCH
A6.2,Safety Performance Index,PROJECT,A6,YES,NO,NO,server/app/simulation/models_doc.py::run_safety_performance,Safety Performance Index,models_doc.run_safety_performance,"oshaIncidentRate, safetyIncidentsDiscussed",,,26,"computed, band Green",value fixed by a committed hand-derived known-answer case,"2 numeric inputs driven to zero, impossible, extreme and near-zero, and to negative where the field contract permits a negative",every reachable out-of-domain value contained,2 single-input removals exercised; no removal improved the reading,6 malformed values x 2 inputs; a null value is contained; not contained in the analytical layer but refused upstream by the numeric contract: safetyIncidentsDiscussed=nan:non-finite output; safetyIncidentsDiscussed=inf:non-finite output,NOT_APPLICABLE: no defining structure declared,deterministic on an identical input; band is inside the governed four-band vocabulary; abstention carries a reader sentence,computed on compute_project,"PROVEN: comparison operators reversed (6 sites, isolated copy)",recorded by the Gate 10 pass,,,,,"contract oracle: registry, canonical and abstention contracts (independent of production arithmetic); numeric oracle: hand-derived literals in test_run10_bucket2_corrections.py, test_run6_known_answer.py, test_run7_fix_now_defects.py, test_run8_retest_classify_27.py",MEDIUM,,,MATCH
A6.3,Environmental Compliance Rate,PROJECT,A6,YES,NO,NO,server/app/simulation/models_doc.py::run_environmental_compliance,Environmental Compliance Rate,models_doc.run_environmental_compliance,"auditedPermitCompliance, environmentalComplianceRate, environmentalIssuesDiscussed, environmentalViolations",auditedPermitCompliance,auditedPermitCompliance,50,"computed, band Amber",value fixed by a committed hand-derived known-answer case,"3 numeric inputs driven to zero, impossible, extreme and near-zero, and to negative where the field contract permits a negative",every reachable out-of-domain value contained,4 single-input removals exercised; no removal improved the reading,6 malformed values x 4 inputs; a null value is contained; not contained in the analytical layer but refused upstream by the numeric contract: environmentalIssuesDiscussed=nan:non-finite output; environmentalIssuesDiscussed=inf:non-finite output; environmentalViolations=nan:non-finite output,"the structure is an alternative form of the same governed quantity: with the extracted rate present it computes, and with neither form present it abstains",deterministic on an identical input; band is inside the governed four-band vocabulary; abstention carries a reader sentence,computed on compute_project,"PROVEN: comparison operators reversed (5 sites, isolated copy)",recorded by the Gate 10 pass,,,,,"contract oracle: registry, canonical and abstention contracts (independent of production arithmetic); numeric oracle: hand-derived literals in test_run10b_canonical_integration.py, test_run2_fifteen_defects.py, test_run8_retest_classify_27.py",MEDIUM,,,MATCH
A6.4,Contractor Performance Score,PROJECT,A6,YES,NO,NO,server/app/simulation/models_doc.py::run_contractor_performance,Contractor Performance Score,models_doc.run_contractor_performance,"costRating, overallRating, qualityRating, scheduleRating",,,32,"computed, band Red",value fixed by a committed hand-derived known-answer case,"0 numeric inputs driven to zero, impossible, extreme and near-zero, and to negative where the field contract permits a negative",every reachable out-of-domain value contained,4 single-input removals exercised; no removal improved the reading,6 malformed values x 4 inputs; a null value is contained,NOT_APPLICABLE: no defining structure declared,deterministic on an identical input; band is inside the governed four-band vocabulary; abstention carries a reader sentence,computed on compute_project,"PROVEN: comparison operators reversed (5 sites, isolated copy)",recorded by the Gate 10 pass,,,,,"contract oracle: registry, canonical and abstention contracts (independent of production arithmetic); numeric oracle: hand-derived literals in test_run10_bucket2_corrections.py, test_run2_fifteen_defects.py, test_run8_retest_classify_27.py",MEDIUM,,,MATCH
B1.1,Conservative Dominance,PROJECT,B1,YES,NO,NO,server/app/simulation/models_decision.py::run_conservative_dominance,Conservative Dominance,models_decision.run_conservative_dominance,,,,4,ABSTAINED: Insufficient data: upload required documents,value fixed by a committed hand-derived known-answer case,"0 numeric inputs driven to zero, impossible, extreme and near-zero, and to negative where the field contract permits a negative",every reachable out-of-domain value contained,0 single-input removals exercised; no removal improved the reading,6 malformed values x 0 inputs; a null value is contained,NOT_APPLICABLE: no defining structure declared,deterministic on an identical input; abstention carries a reader sentence,"abstained on compute_project, reason recorded","PROVEN: every branch guard inverted (1 sites, isolated copy)",recorded by the Gate 10 pass,,,,,"contract oracle: registry, canonical and abstention contracts (independent of production arithmetic); numeric oracle: hand-derived literals in test_run2_fifteen_defects.py, test_run6_known_answer.py",MEDIUM,"nested-input module: reachable only through the signal adapter, marked newly wired and unvalidated in production",,MATCH
B1.2,Weighted Voting,PROJECT,B1,YES,NO,NO,server/app/simulation/models_gov.py::run_weighted_voting,Weighted Voting,models_gov.run_weighted_voting,,,,4,ABSTAINED: Insufficient data: upload required documents,value fixed by a committed hand-derived known-answer case,"0 numeric inputs driven to zero, impossible, extreme and near-zero, and to negative where the field contract permits a negative",every reachable out-of-domain value contained,0 single-input removals exercised; no removal improved the reading,6 malformed values x 0 inputs; a null value is contained,NOT_APPLICABLE: no defining structure declared,deterministic on an identical input; abstention carries a reader sentence,computed on compute_project,"PROVEN: every branch guard inverted (6 sites, isolated copy)",recorded by the Gate 10 pass,,,,,"contract oracle: registry, canonical and abstention contracts (independent of production arithmetic); numeric oracle: hand-derived literals in test_run2_fifteen_defects.py, test_run6_known_answer.py",MEDIUM,"nested-input module: reachable only through the signal adapter, marked newly wired and unvalidated in production",,MATCH
