gap,check,project_or_problem,period,quantity,recomputed,stored,verdict
A NCR,ncr,PRJ-DCT,P03,mean_open_age_days,0.0,0.0,agrees
A NCR,ncr,PRJ-DCT,P04,ncr_issued_to_date,8,8,agrees
A NCR,ncr,PRJ-DCT,P04,ncr_closed_to_date,4,4,agrees
A NCR,ncr,PRJ-DCT,P04,ncr_open_at_cutoff,4,4,agrees
A NCR,ncr,PRJ-DCT,P04,ncr_overdue_at_cutoff,0,0,agrees
A NCR,ncr,PRJ-DCT,P04,cumulative_inspections,107,107,agrees
A NCR,ncr,PRJ-DCT,P04,ncr_incidence_per_100_inspections,7.47663551,7.47663551,agrees
A NCR,ncr,PRJ-DCT,P04,closure_ratio,0.5,0.5,agrees
A NCR,ncr,PRJ-DCT,P04,open_ratio,0.5,0.5,agrees
A NCR,ncr,PRJ-DCT,P04,overdue_open_ratio,0.0,0.0,agrees
A NCR,ncr,PRJ-DCT,P04,mean_open_age_days,7.75,7.75,agrees
A NCR,ncr,PRJ-DCT,P05,ncr_issued_to_date,10,10,agrees
A NCR,ncr,PRJ-DCT,P05,ncr_closed_to_date,7,7,agrees
A NCR,ncr,PRJ-DCT,P05,ncr_open_at_cutoff,3,3,agrees
A NCR,ncr,PRJ-DCT,P05,ncr_overdue_at_cutoff,1,1,agrees
A NCR,ncr,PRJ-DCT,P05,cumulative_inspections,142,142,agrees
A NCR,ncr,PRJ-DCT,P05,ncr_incidence_per_100_inspections,7.04225352,7.04225352,agrees
A NCR,ncr,PRJ-DCT,P05,closure_ratio,0.7,0.7,agrees
A NCR,ncr,PRJ-DCT,P05,open_ratio,0.3,0.3,agrees
A NCR,ncr,PRJ-DCT,P05,overdue_open_ratio,0.33333333,0.33333333,agrees
A NCR,ncr,PRJ-DCT,P05,mean_open_age_days,21.66666667,21.66666667,agrees
A NCR,ncr,PRJ-DCT,P06,ncr_issued_to_date,12,12,agrees
A NCR,ncr,PRJ-DCT,P06,ncr_closed_to_date,10,10,agrees
A NCR,ncr,PRJ-DCT,P06,ncr_open_at_cutoff,2,2,agrees
A NCR,ncr,PRJ-DCT,P06,ncr_overdue_at_cutoff,2,2,agrees
A NCR,ncr,PRJ-DCT,P06,cumulative_inspections,181,181,agrees
A NCR,ncr,PRJ-DCT,P06,ncr_incidence_per_100_inspections,6.62983425,6.62983425,agrees
A NCR,ncr,PRJ-DCT,P06,closure_ratio,0.83333333,0.83333333,agrees
A NCR,ncr,PRJ-DCT,P06,open_ratio,0.16666667,0.16666667,agrees
A NCR,ncr,PRJ-DCT,P06,overdue_open_ratio,1.0,1.0,agrees
A NCR,ncr,PRJ-DCT,P06,mean_open_age_days,76.0,76.0,agrees
B environmental,environmental,PRJ-AIR,P01,applicable_requirements,7.0,7,agrees
B environmental,environmental,PRJ-AIR,P01,applicable_requirements_assessed,7.0,7,agrees
B environmental,environmental,PRJ-AIR,P01,compliant_requirements,6.0,6,agrees
B environmental,environmental,PRJ-AIR,P01,noncompliant_requirements,1.0,1,agrees
B environmental,environmental,PRJ-AIR,P01,unassessed_requirements,0.0,0,agrees
B environmental,environmental,PRJ-AIR,P01,environmental_compliance_rate,0.85714286,0.85714286,agrees
B environmental,environmental,PRJ-AIR,P01,severe_noncompliances,1.0,1,agrees
B environmental,environmental,PRJ-AIR,P01,overdue_corrective_actions,0.0,0,agrees
B environmental,environmental,PRJ-AIR,P02,applicable_requirements,7.0,7,agrees
B environmental,environmental,PRJ-AIR,P02,applicable_requirements_assessed,6.0,6,agrees
B environmental,environmental,PRJ-AIR,P02,compliant_requirements,5.0,5,agrees
B environmental,environmental,PRJ-AIR,P02,noncompliant_requirements,1.0,1,agrees
B environmental,environmental,PRJ-AIR,P02,unassessed_requirements,1.0,1,agrees
B environmental,environmental,PRJ-AIR,P02,environmental_compliance_rate,0.83333333,0.83333333,agrees
B environmental,environmental,PRJ-AIR,P02,severe_noncompliances,0.0,0,agrees
B environmental,environmental,PRJ-AIR,P02,overdue_corrective_actions,0.0,0,agrees
B environmental,environmental,PRJ-AIR,P03,applicable_requirements,7.0,7,agrees
B environmental,environmental,PRJ-AIR,P03,applicable_requirements_assessed,7.0,7,agrees
B environmental,environmental,PRJ-AIR,P03,compliant_requirements,7.0,7,agrees
B environmental,environmental,PRJ-AIR,P03,noncompliant_requirements,0.0,0,agrees
B environmental,environmental,PRJ-AIR,P03,unassessed_requirements,0.0,0,agrees
B environmental,environmental,PRJ-AIR,P03,environmental_compliance_rate,1.0,1.0,agrees
B environmental,environmental,PRJ-AIR,P03,severe_noncompliances,0.0,0,agrees
B environmental,environmental,PRJ-AIR,P03,overdue_corrective_actions,0.0,0,agrees
B environmental,environmental,PRJ-AIR,P04,applicable_requirements,7.0,7,agrees
B environmental,environmental,PRJ-AIR,P04,applicable_requirements_assessed,7.0,7,agrees
B environmental,environmental,PRJ-AIR,P04,compliant_requirements,5.0,5,agrees
B environmental,environmental,PRJ-AIR,P04,noncompliant_requirements,2.0,2,agrees
B environmental,environmental,PRJ-AIR,P04,unassessed_requirements,0.0,0,agrees
B environmental,environmental,PRJ-AIR,P04,environmental_compliance_rate,0.71428571,0.71428571,agrees
B environmental,environmental,PRJ-AIR,P04,severe_noncompliances,2.0,2,agrees
B environmental,environmental,PRJ-AIR,P04,overdue_corrective_actions,0.0,0,agrees
B environmental,environmental,PRJ-AIR,P05,applicable_requirements,7.0,7,agrees
B environmental,environmental,PRJ-AIR,P05,applicable_requirements_assessed,7.0,7,agrees
B environmental,environmental,PRJ-AIR,P05,compliant_requirements,6.0,6,agrees
B environmental,environmental,PRJ-AIR,P05,noncompliant_requirements,1.0,1,agrees
B environmental,environmental,PRJ-AIR,P05,unassessed_requirements,0.0,0,agrees
B environmental,environmental,PRJ-AIR,P05,environmental_compliance_rate,0.85714286,0.85714286,agrees
B environmental,environmental,PRJ-AIR,P05,severe_noncompliances,0.0,0,agrees
B environmental,environmental,PRJ-AIR,P05,overdue_corrective_actions,1.0,1,agrees
B environmental,environmental,PRJ-AIR,P06,applicable_requirements,7.0,7,agrees
B environmental,environmental,PRJ-AIR,P06,applicable_requirements_assessed,7.0,7,agrees
B environmental,environmental,PRJ-AIR,P06,compliant_requirements,7.0,7,agrees
B environmental,environmental,PRJ-AIR,P06,noncompliant_requirements,0.0,0,agrees
B environmental,environmental,PRJ-AIR,P06,unassessed_requirements,0.0,0,agrees
B environmental,environmental,PRJ-AIR,P06,environmental_compliance_rate,1.0,1.0,agrees
B environmental,environmental,PRJ-AIR,P06,severe_noncompliances,0.0,0,agrees
B environmental,environmental,PRJ-AIR,P06,overdue_corrective_actions,1.0,1,agrees
B environmental,environmental,PRJ-HWY,P01,applicable_requirements,8.0,8,agrees
B environmental,environmental,PRJ-HWY,P01,applicable_requirements_assessed,8.0,8,agrees
B environmental,environmental,PRJ-HWY,P01,compliant_requirements,8.0,8,agrees
B environmental,environmental,PRJ-HWY,P01,noncompliant_requirements,0.0,0,agrees
B environmental,environmental,PRJ-HWY,P01,unassessed_requirements,0.0,0,agrees
B environmental,environmental,PRJ-HWY,P01,environmental_compliance_rate,1.0,1.0,agrees
B environmental,environmental,PRJ-HWY,P01,severe_noncompliances,0.0,0,agrees
B environmental,environmental,PRJ-HWY,P01,overdue_corrective_actions,0.0,0,agrees
B environmental,environmental,PRJ-HWY,P02,applicable_requirements,8.0,8,agrees
B environmental,environmental,PRJ-HWY,P02,applicable_requirements_assessed,7.0,7,agrees
B environmental,environmental,PRJ-HWY,P02,compliant_requirements,6.0,6,agrees
B environmental,environmental,PRJ-HWY,P02,noncompliant_requirements,1.0,1,agrees
B environmental,environmental,PRJ-HWY,P02,unassessed_requirements,1.0,1,agrees
B environmental,environmental,PRJ-HWY,P02,environmental_compliance_rate,0.85714286,0.85714286,agrees
B environmental,environmental,PRJ-HWY,P02,severe_noncompliances,1.0,1,agrees
B environmental,environmental,PRJ-HWY,P02,overdue_corrective_actions,0.0,0,agrees
B environmental,environmental,PRJ-HWY,P03,applicable_requirements,8.0,8,agrees
B environmental,environmental,PRJ-HWY,P03,applicable_requirements_assessed,8.0,8,agrees
B environmental,environmental,PRJ-HWY,P03,compliant_requirements,8.0,8,agrees
B environmental,environmental,PRJ-HWY,P03,noncompliant_requirements,0.0,0,agrees
B environmental,environmental,PRJ-HWY,P03,unassessed_requirements,0.0,0,agrees
B environmental,environmental,PRJ-HWY,P03,environmental_compliance_rate,1.0,1.0,agrees
B environmental,environmental,PRJ-HWY,P03,severe_noncompliances,0.0,0,agrees
B environmental,environmental,PRJ-HWY,P03,overdue_corrective_actions,0.0,0,agrees
B environmental,environmental,PRJ-HWY,P04,applicable_requirements,8.0,8,agrees
B environmental,environmental,PRJ-HWY,P04,applicable_requirements_assessed,8.0,8,agrees
B environmental,environmental,PRJ-HWY,P04,compliant_requirements,8.0,8,agrees
B environmental,environmental,PRJ-HWY,P04,noncompliant_requirements,0.0,0,agrees
B environmental,environmental,PRJ-HWY,P04,unassessed_requirements,0.0,0,agrees
B environmental,environmental,PRJ-HWY,P04,environmental_compliance_rate,1.0,1.0,agrees
B environmental,environmental,PRJ-HWY,P04,severe_noncompliances,0.0,0,agrees
B environmental,environmental,PRJ-HWY,P04,overdue_corrective_actions,0.0,0,agrees
B environmental,environmental,PRJ-HWY,P05,applicable_requirements,8.0,8,agrees
B environmental,environmental,PRJ-HWY,P05,applicable_requirements_assessed,8.0,8,agrees
B environmental,environmental,PRJ-HWY,P05,compliant_requirements,8.0,8,agrees
B environmental,environmental,PRJ-HWY,P05,noncompliant_requirements,0.0,0,agrees
B environmental,environmental,PRJ-HWY,P05,unassessed_requirements,0.0,0,agrees
B environmental,environmental,PRJ-HWY,P05,environmental_compliance_rate,1.0,1.0,agrees
B environmental,environmental,PRJ-HWY,P05,severe_noncompliances,0.0,0,agrees
B environmental,environmental,PRJ-HWY,P05,overdue_corrective_actions,0.0,0,agrees
B environmental,environmental,PRJ-HWY,P06,applicable_requirements,8.0,8,agrees
B environmental,environmental,PRJ-HWY,P06,applicable_requirements_assessed,8.0,8,agrees
B environmental,environmental,PRJ-HWY,P06,compliant_requirements,6.0,6,agrees
B environmental,environmental,PRJ-HWY,P06,noncompliant_requirements,2.0,2,agrees
B environmental,environmental,PRJ-HWY,P06,unassessed_requirements,0.0,0,agrees
B environmental,environmental,PRJ-HWY,P06,environmental_compliance_rate,0.75,0.75,agrees
B environmental,environmental,PRJ-HWY,P06,severe_noncompliances,1.0,1,agrees
B environmental,environmental,PRJ-HWY,P06,overdue_corrective_actions,0.0,0,agrees
B environmental,environmental,PRJ-HSP,P01,applicable_requirements,8.0,8,agrees
B environmental,environmental,PRJ-HSP,P01,applicable_requirements_assessed,8.0,8,agrees
B environmental,environmental,PRJ-HSP,P01,compliant_requirements,5.0,5,agrees
B environmental,environmental,PRJ-HSP,P01,noncompliant_requirements,3.0,3,agrees
B environmental,environmental,PRJ-HSP,P01,unassessed_requirements,0.0,0,agrees
B environmental,environmental,PRJ-HSP,P01,environmental_compliance_rate,0.625,0.625,agrees
B environmental,environmental,PRJ-HSP,P01,severe_noncompliances,1.0,1,agrees
B environmental,environmental,PRJ-HSP,P01,overdue_corrective_actions,0.0,0,agrees
B environmental,environmental,PRJ-HSP,P02,applicable_requirements,8.0,8,agrees
B environmental,environmental,PRJ-HSP,P02,applicable_requirements_assessed,8.0,8,agrees
B environmental,environmental,PRJ-HSP,P02,compliant_requirements,7.0,7,agrees
B environmental,environmental,PRJ-HSP,P02,noncompliant_requirements,1.0,1,agrees
B environmental,environmental,PRJ-HSP,P02,unassessed_requirements,0.0,0,agrees
B environmental,environmental,PRJ-HSP,P02,environmental_compliance_rate,0.875,0.875,agrees
B environmental,environmental,PRJ-HSP,P02,severe_noncompliances,1.0,1,agrees
B environmental,environmental,PRJ-HSP,P02,overdue_corrective_actions,2.0,2,agrees
B environmental,environmental,PRJ-HSP,P03,applicable_requirements,8.0,8,agrees
B environmental,environmental,PRJ-HSP,P03,applicable_requirements_assessed,8.0,8,agrees
B environmental,environmental,PRJ-HSP,P03,compliant_requirements,8.0,8,agrees
B environmental,environmental,PRJ-HSP,P03,noncompliant_requirements,0.0,0,agrees
B environmental,environmental,PRJ-HSP,P03,unassessed_requirements,0.0,0,agrees
B environmental,environmental,PRJ-HSP,P03,environmental_compliance_rate,1.0,1.0,agrees
B environmental,environmental,PRJ-HSP,P03,severe_noncompliances,0.0,0,agrees
B environmental,environmental,PRJ-HSP,P03,overdue_corrective_actions,3.0,3,agrees
B environmental,environmental,PRJ-HSP,P04,applicable_requirements,8.0,8,agrees
B environmental,environmental,PRJ-HSP,P04,applicable_requirements_assessed,8.0,8,agrees
B environmental,environmental,PRJ-HSP,P04,compliant_requirements,5.0,5,agrees
B environmental,environmental,PRJ-HSP,P04,noncompliant_requirements,3.0,3,agrees
B environmental,environmental,PRJ-HSP,P04,unassessed_requirements,0.0,0,agrees
B environmental,environmental,PRJ-HSP,P04,environmental_compliance_rate,0.625,0.625,agrees
B environmental,environmental,PRJ-HSP,P04,severe_noncompliances,1.0,1,agrees
B environmental,environmental,PRJ-HSP,P04,overdue_corrective_actions,3.0,3,agrees
B environmental,environmental,PRJ-HSP,P05,applicable_requirements,8.0,8,agrees
B environmental,environmental,PRJ-HSP,P05,applicable_requirements_assessed,8.0,8,agrees
B environmental,environmental,PRJ-HSP,P05,compliant_requirements,8.0,8,agrees
B environmental,environmental,PRJ-HSP,P05,noncompliant_requirements,0.0,0,agrees
B environmental,environmental,PRJ-HSP,P05,unassessed_requirements,0.0,0,agrees
B environmental,environmental,PRJ-HSP,P05,environmental_compliance_rate,1.0,1.0,agrees
B environmental,environmental,PRJ-HSP,P05,severe_noncompliances,0.0,0,agrees
B environmental,environmental,PRJ-HSP,P05,overdue_corrective_actions,6.0,6,agrees
B environmental,environmental,PRJ-HSP,P06,applicable_requirements,8.0,8,agrees
B environmental,environmental,PRJ-HSP,P06,applicable_requirements_assessed,8.0,8,agrees
B environmental,environmental,PRJ-HSP,P06,compliant_requirements,8.0,8,agrees
B environmental,environmental,PRJ-HSP,P06,noncompliant_requirements,0.0,0,agrees
B environmental,environmental,PRJ-HSP,P06,unassessed_requirements,0.0,0,agrees
B environmental,environmental,PRJ-HSP,P06,environmental_compliance_rate,1.0,1.0,agrees
B environmental,environmental,PRJ-HSP,P06,severe_noncompliances,0.0,0,agrees
B environmental,environmental,PRJ-HSP,P06,overdue_corrective_actions,6.0,6,agrees
B environmental,environmental,PRJ-WTR,P01,applicable_requirements,8.0,8,agrees
B environmental,environmental,PRJ-WTR,P01,applicable_requirements_assessed,7.0,7,agrees
B environmental,environmental,PRJ-WTR,P01,compliant_requirements,7.0,7,agrees
B environmental,environmental,PRJ-WTR,P01,noncompliant_requirements,0.0,0,agrees
B environmental,environmental,PRJ-WTR,P01,unassessed_requirements,1.0,1,agrees
B environmental,environmental,PRJ-WTR,P01,environmental_compliance_rate,1.0,1.0,agrees
B environmental,environmental,PRJ-WTR,P01,severe_noncompliances,0.0,0,agrees
B environmental,environmental,PRJ-WTR,P01,overdue_corrective_actions,0.0,0,agrees
B environmental,environmental,PRJ-WTR,P02,applicable_requirements,8.0,8,agrees
B environmental,environmental,PRJ-WTR,P02,applicable_requirements_assessed,7.0,7,agrees
B environmental,environmental,PRJ-WTR,P02,compliant_requirements,6.0,6,agrees
B environmental,environmental,PRJ-WTR,P02,noncompliant_requirements,1.0,1,agrees
B environmental,environmental,PRJ-WTR,P02,unassessed_requirements,1.0,1,agrees
B environmental,environmental,PRJ-WTR,P02,environmental_compliance_rate,0.85714286,0.85714286,agrees
B environmental,environmental,PRJ-WTR,P02,severe_noncompliances,0.0,0,agrees
B environmental,environmental,PRJ-WTR,P02,overdue_corrective_actions,0.0,0,agrees
B environmental,environmental,PRJ-WTR,P03,applicable_requirements,8.0,8,agrees
B environmental,environmental,PRJ-WTR,P03,applicable_requirements_assessed,7.0,7,agrees
B environmental,environmental,PRJ-WTR,P03,compliant_requirements,7.0,7,agrees
B environmental,environmental,PRJ-WTR,P03,noncompliant_requirements,0.0,0,agrees
B environmental,environmental,PRJ-WTR,P03,unassessed_requirements,1.0,1,agrees
B environmental,environmental,PRJ-WTR,P03,environmental_compliance_rate,1.0,1.0,agrees
B environmental,environmental,PRJ-WTR,P03,severe_noncompliances,0.0,0,agrees
B environmental,environmental,PRJ-WTR,P03,overdue_corrective_actions,0.0,0,agrees
B environmental,environmental,PRJ-WTR,P04,applicable_requirements,8.0,8,agrees
B environmental,environmental,PRJ-WTR,P04,applicable_requirements_assessed,8.0,8,agrees
B environmental,environmental,PRJ-WTR,P04,compliant_requirements,6.0,6,agrees
B environmental,environmental,PRJ-WTR,P04,noncompliant_requirements,2.0,2,agrees
B environmental,environmental,PRJ-WTR,P04,unassessed_requirements,0.0,0,agrees
B environmental,environmental,PRJ-WTR,P04,environmental_compliance_rate,0.75,0.75,agrees
B environmental,environmental,PRJ-WTR,P04,severe_noncompliances,1.0,1,agrees
B environmental,environmental,PRJ-WTR,P04,overdue_corrective_actions,0.0,0,agrees
B environmental,environmental,PRJ-WTR,P05,applicable_requirements,8.0,8,agrees
B environmental,environmental,PRJ-WTR,P05,applicable_requirements_assessed,8.0,8,agrees
B environmental,environmental,PRJ-WTR,P05,compliant_requirements,8.0,8,agrees
B environmental,environmental,PRJ-WTR,P05,noncompliant_requirements,0.0,0,agrees
B environmental,environmental,PRJ-WTR,P05,unassessed_requirements,0.0,0,agrees
B environmental,environmental,PRJ-WTR,P05,environmental_compliance_rate,1.0,1.0,agrees
B environmental,environmental,PRJ-WTR,P05,severe_noncompliances,0.0,0,agrees
B environmental,environmental,PRJ-WTR,P05,overdue_corrective_actions,1.0,1,agrees
B environmental,environmental,PRJ-WTR,P06,applicable_requirements,8.0,8,agrees
B environmental,environmental,PRJ-WTR,P06,applicable_requirements_assessed,8.0,8,agrees
B environmental,environmental,PRJ-WTR,P06,compliant_requirements,7.0,7,agrees
B environmental,environmental,PRJ-WTR,P06,noncompliant_requirements,1.0,1,agrees
B environmental,environmental,PRJ-WTR,P06,unassessed_requirements,0.0,0,agrees
B environmental,environmental,PRJ-WTR,P06,environmental_compliance_rate,0.875,0.875,agrees
B environmental,environmental,PRJ-WTR,P06,severe_noncompliances,1.0,1,agrees
B environmental,environmental,PRJ-WTR,P06,overdue_corrective_actions,1.0,1,agrees
B environmental,environmental,PRJ-RAL,P01,applicable_requirements,8.0,8,agrees
B environmental,environmental,PRJ-RAL,P01,applicable_requirements_assessed,8.0,8,agrees
B environmental,environmental,PRJ-RAL,P01,compliant_requirements,8.0,8,agrees
B environmental,environmental,PRJ-RAL,P01,noncompliant_requirements,0.0,0,agrees
B environmental,environmental,PRJ-RAL,P01,unassessed_requirements,0.0,0,agrees
B environmental,environmental,PRJ-RAL,P01,environmental_compliance_rate,1.0,1.0,agrees
B environmental,environmental,PRJ-RAL,P01,severe_noncompliances,0.0,0,agrees
B environmental,environmental,PRJ-RAL,P01,overdue_corrective_actions,0.0,0,agrees
B environmental,environmental,PRJ-RAL,P02,applicable_requirements,8.0,8,agrees
B environmental,environmental,PRJ-RAL,P02,applicable_requirements_assessed,8.0,8,agrees
B environmental,environmental,PRJ-RAL,P02,compliant_requirements,8.0,8,agrees
B environmental,environmental,PRJ-RAL,P02,noncompliant_requirements,0.0,0,agrees
B environmental,environmental,PRJ-RAL,P02,unassessed_requirements,0.0,0,agrees
B environmental,environmental,PRJ-RAL,P02,environmental_compliance_rate,1.0,1.0,agrees
B environmental,environmental,PRJ-RAL,P02,severe_noncompliances,0.0,0,agrees
B environmental,environmental,PRJ-RAL,P02,overdue_corrective_actions,0.0,0,agrees
B environmental,environmental,PRJ-RAL,P03,applicable_requirements,8.0,8,agrees
B environmental,environmental,PRJ-RAL,P03,applicable_requirements_assessed,8.0,8,agrees
B environmental,environmental,PRJ-RAL,P03,compliant_requirements,8.0,8,agrees
B environmental,environmental,PRJ-RAL,P03,noncompliant_requirements,0.0,0,agrees
B environmental,environmental,PRJ-RAL,P03,unassessed_requirements,0.0,0,agrees
B environmental,environmental,PRJ-RAL,P03,environmental_compliance_rate,1.0,1.0,agrees
B environmental,environmental,PRJ-RAL,P03,severe_noncompliances,0.0,0,agrees
B environmental,environmental,PRJ-RAL,P03,overdue_corrective_actions,0.0,0,agrees
B environmental,environmental,PRJ-RAL,P04,applicable_requirements,8.0,8,agrees
B environmental,environmental,PRJ-RAL,P04,applicable_requirements_assessed,8.0,8,agrees
B environmental,environmental,PRJ-RAL,P04,compliant_requirements,8.0,8,agrees
B environmental,environmental,PRJ-RAL,P04,noncompliant_requirements,0.0,0,agrees
B environmental,environmental,PRJ-RAL,P04,unassessed_requirements,0.0,0,agrees
B environmental,environmental,PRJ-RAL,P04,environmental_compliance_rate,1.0,1.0,agrees
B environmental,environmental,PRJ-RAL,P04,severe_noncompliances,0.0,0,agrees
B environmental,environmental,PRJ-RAL,P04,overdue_corrective_actions,0.0,0,agrees
B environmental,environmental,PRJ-RAL,P05,applicable_requirements,8.0,8,agrees
B environmental,environmental,PRJ-RAL,P05,applicable_requirements_assessed,8.0,8,agrees
B environmental,environmental,PRJ-RAL,P05,compliant_requirements,6.0,6,agrees
B environmental,environmental,PRJ-RAL,P05,noncompliant_requirements,2.0,2,agrees
B environmental,environmental,PRJ-RAL,P05,unassessed_requirements,0.0,0,agrees
B environmental,environmental,PRJ-RAL,P05,environmental_compliance_rate,0.75,0.75,agrees
B environmental,environmental,PRJ-RAL,P05,severe_noncompliances,1.0,1,agrees
B environmental,environmental,PRJ-RAL,P05,overdue_corrective_actions,0.0,0,agrees
B environmental,environmental,PRJ-RAL,P06,applicable_requirements,8.0,8,agrees
B environmental,environmental,PRJ-RAL,P06,applicable_requirements_assessed,8.0,8,agrees
B environmental,environmental,PRJ-RAL,P06,compliant_requirements,8.0,8,agrees
B environmental,environmental,PRJ-RAL,P06,noncompliant_requirements,0.0,0,agrees
B environmental,environmental,PRJ-RAL,P06,unassessed_requirements,0.0,0,agrees
B environmental,environmental,PRJ-RAL,P06,environmental_compliance_rate,1.0,1.0,agrees
B environmental,environmental,PRJ-RAL,P06,severe_noncompliances,0.0,0,agrees
B environmental,environmental,PRJ-RAL,P06,overdue_corrective_actions,1.0,1,agrees
B environmental,environmental,PRJ-DCT,P01,applicable_requirements,7.0,7,agrees
B environmental,environmental,PRJ-DCT,P01,applicable_requirements_assessed,6.0,6,agrees
B environmental,environmental,PRJ-DCT,P01,compliant_requirements,5.0,5,agrees
B environmental,environmental,PRJ-DCT,P01,noncompliant_requirements,1.0,1,agrees
B environmental,environmental,PRJ-DCT,P01,unassessed_requirements,1.0,1,agrees
B environmental,environmental,PRJ-DCT,P01,environmental_compliance_rate,0.83333333,0.83333333,agrees
B environmental,environmental,PRJ-DCT,P01,severe_noncompliances,1.0,1,agrees
B environmental,environmental,PRJ-DCT,P01,overdue_corrective_actions,0.0,0,agrees
B environmental,environmental,PRJ-DCT,P02,applicable_requirements,7.0,7,agrees
B environmental,environmental,PRJ-DCT,P02,applicable_requirements_assessed,7.0,7,agrees
B environmental,environmental,PRJ-DCT,P02,compliant_requirements,5.0,5,agrees
B environmental,environmental,PRJ-DCT,P02,noncompliant_requirements,2.0,2,agrees
B environmental,environmental,PRJ-DCT,P02,unassessed_requirements,0.0,0,agrees
B environmental,environmental,PRJ-DCT,P02,environmental_compliance_rate,0.71428571,0.71428571,agrees
B environmental,environmental,PRJ-DCT,P02,severe_noncompliances,2.0,2,agrees
B environmental,environmental,PRJ-DCT,P02,overdue_corrective_actions,1.0,1,agrees
B environmental,environmental,PRJ-DCT,P03,applicable_requirements,7.0,7,agrees
B environmental,environmental,PRJ-DCT,P03,applicable_requirements_assessed,7.0,7,agrees
B environmental,environmental,PRJ-DCT,P03,compliant_requirements,7.0,7,agrees
B environmental,environmental,PRJ-DCT,P03,noncompliant_requirements,0.0,0,agrees
B environmental,environmental,PRJ-DCT,P03,unassessed_requirements,0.0,0,agrees
B environmental,environmental,PRJ-DCT,P03,environmental_compliance_rate,1.0,1.0,agrees
B environmental,environmental,PRJ-DCT,P03,severe_noncompliances,0.0,0,agrees
B environmental,environmental,PRJ-DCT,P03,overdue_corrective_actions,1.0,1,agrees
B environmental,environmental,PRJ-DCT,P04,applicable_requirements,7.0,7,agrees
B environmental,environmental,PRJ-DCT,P04,applicable_requirements_assessed,7.0,7,agrees
B environmental,environmental,PRJ-DCT,P04,compliant_requirements,5.0,5,agrees
B environmental,environmental,PRJ-DCT,P04,noncompliant_requirements,2.0,2,agrees
B environmental,environmental,PRJ-DCT,P04,unassessed_requirements,0.0,0,agrees
B environmental,environmental,PRJ-DCT,P04,environmental_compliance_rate,0.71428571,0.71428571,agrees
B environmental,environmental,PRJ-DCT,P04,severe_noncompliances,1.0,1,agrees
B environmental,environmental,PRJ-DCT,P04,overdue_corrective_actions,1.0,1,agrees
B environmental,environmental,PRJ-DCT,P05,applicable_requirements,7.0,7,agrees
B environmental,environmental,PRJ-DCT,P05,applicable_requirements_assessed,7.0,7,agrees
B environmental,environmental,PRJ-DCT,P05,compliant_requirements,6.0,6,agrees
B environmental,environmental,PRJ-DCT,P05,noncompliant_requirements,1.0,1,agrees
B environmental,environmental,PRJ-DCT,P05,unassessed_requirements,0.0,0,agrees
B environmental,environmental,PRJ-DCT,P05,environmental_compliance_rate,0.85714286,0.85714286,agrees
B environmental,environmental,PRJ-DCT,P05,severe_noncompliances,0.0,0,agrees
B environmental,environmental,PRJ-DCT,P05,overdue_corrective_actions,3.0,3,agrees
B environmental,environmental,PRJ-DCT,P06,applicable_requirements,7.0,7,agrees
B environmental,environmental,PRJ-DCT,P06,applicable_requirements_assessed,7.0,7,agrees
B environmental,environmental,PRJ-DCT,P06,compliant_requirements,6.0,6,agrees
B environmental,environmental,PRJ-DCT,P06,noncompliant_requirements,1.0,1,agrees
B environmental,environmental,PRJ-DCT,P06,unassessed_requirements,0.0,0,agrees
B environmental,environmental,PRJ-DCT,P06,environmental_compliance_rate,0.85714286,0.85714286,agrees
B environmental,environmental,PRJ-DCT,P06,severe_noncompliances,0.0,0,agrees
B environmental,environmental,PRJ-DCT,P06,overdue_corrective_actions,3.0,3,agrees
C CCPM,ccpm_chain,PRJ-AIR,,PRJ-AIR-CC:buffer_days,14.97163114,14.97163114,agrees
C CCPM,ccpm_chain,PRJ-AIR,,PRJ-AIR-FC1:buffer_days,3.20254083,3.20254083,agrees
C CCPM,ccpm_chain,PRJ-AIR,,PRJ-AIR-FC2:buffer_days,5.5461175,5.5461175,agrees
C CCPM,ccpm_chain,PRJ-DCT,,PRJ-DCT-CC:buffer_days,11.3140218,11.3140218,agrees
C CCPM,ccpm_chain,PRJ-DCT,,PRJ-DCT-FC1:buffer_days,2.2495375,2.2495375,agrees
C CCPM,ccpm_chain,PRJ-DCT,,PRJ-DCT-FC2:buffer_days,3.742375,3.742375,agrees
C CCPM,ccpm_chain,PRJ-HSP,,PRJ-HSP-CC:buffer_days,15.18324537,15.18324537,agrees
C CCPM,ccpm_chain,PRJ-HSP,,PRJ-HSP-FC1:buffer_days,2.70383167,2.70383167,agrees
C CCPM,ccpm_chain,PRJ-HSP,,PRJ-HSP-FC2:buffer_days,4.7861275,4.7861275,agrees
C CCPM,ccpm_chain,PRJ-HWY,,PRJ-HWY-CC:buffer_days,12.18428855,12.18428855,agrees
C CCPM,ccpm_chain,PRJ-HWY,,PRJ-HWY-FC1:buffer_days,2.84694667,2.84694667,agrees
C CCPM,ccpm_chain,PRJ-HWY,,PRJ-HWY-FC2:buffer_days,4.41984083,4.41984083,agrees
C CCPM,ccpm_chain,PRJ-RAL,,PRJ-RAL-CC:buffer_days,13.59561989,13.59561989,agrees
