module ID,authoritative current name,category,activation,voting,canonical runner,current production route,defining canonical structure,canonical structure required?,production supply path,real corpus currently supplies structure?,current operational behavior,computes when structure exists?,abstains when structure is absent?,disabled?,archived?,supplied rather than computed?,current served defensibility statement,expected truthful statement,mismatch,PASS/FAIL
A6.3,Environmental Compliance Rate,Delivery Quality Performance,ENABLED,does not vote,app.simulation.models_cat89.run_A6_3,registry.run_module -> app.simulation.models_cat89.run_A6_3,auditedPermitCompliance,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
A6.4,Contractor Performance Assessment Signal,Delivery Quality Performance,ENABLED,does not vote,app.simulation.models_cat89.run_A6_4,registry.run_module -> app.simulation.models_cat89.run_A6_4,contractorAssessmentRecord,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
B1.1,Conservative Dominance,Signal Synthesis,ENABLED,does not vote,app.simulation.models_decision.run_conservative_dominance,registry.run_module -> app.simulation.models_decision.run_conservative_dominance,none,not required by this module,n/a: this module defines no governed structure,n/a,the current production runner computes the canonical method from the governed evidence the platform already holds,YES,YES,NO,NO,NO,the current production runner computes the canonical method from the governed evidence the platform already holds,the current production runner computes the canonical method from the governed evidence the platform already holds,none,PASS
B1.2,Weighted Voting,Signal Synthesis,ENABLED,does not vote,app.simulation.models_gov.run_weighted_voting,registry.run_module -> app.simulation.models_gov.run_weighted_voting,signalWeightPolicy,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
B1.3,Majority Rules,Signal Synthesis,ENABLED,does not vote,app.simulation.models_gov.run_majority_rules,registry.run_module -> app.simulation.models_gov.run_majority_rules,none,not required by this module,n/a: this module defines no governed structure,n/a,the current production runner computes the canonical method from the governed evidence the platform already holds,YES,YES,NO,NO,NO,the current production runner computes the canonical method from the governed evidence the platform already holds,the current production runner computes the canonical method from the governed evidence the platform already holds,none,PASS
B1.4,Worst-N-of-M,Signal Synthesis,ENABLED,does not vote,app.simulation.models_gov.run_worst_n_of_m,registry.run_module -> app.simulation.models_gov.run_worst_n_of_m,none,not required by this module,n/a: this module defines no governed structure,n/a,the current production runner computes the canonical method from the governed evidence the platform already holds,YES,YES,NO,NO,NO,the current production runner computes the canonical method from the governed evidence the platform already holds,the current production runner computes the canonical method from the governed evidence the platform already holds,none,PASS
B2.1,Dempster-Shafer,Evidence Combination,ENABLED,does not vote,app.simulation.models_cat7.run_dst_evidence_combination,registry.run_module -> app.simulation.models_cat7.run_dst_evidence_combination,evidenceMassFunctions,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
B2.2,Rough Sets,Evidence Combination,ENABLED,does not vote,app.simulation.models_cat7.run_rough_sets_classification,registry.run_module -> app.simulation.models_cat7.run_rough_sets_classification,roughDecisionTable,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
B2.3,Neutrosophic Logic,Evidence Combination,ENABLED,does not vote,app.simulation.models_cat7.run_neutrosophic_logic,registry.run_module -> app.simulation.models_cat7.run_neutrosophic_logic,neutrosophicAssessment,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
B2.4,Interval Fuzzy Sets,Evidence Combination,ENABLED,does not vote,app.simulation.models_cat7.run_interval_fuzzy_sets,registry.run_module -> app.simulation.models_cat7.run_interval_fuzzy_sets,intervalFuzzyAssessment,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
B2.5,Z-numbers,Evidence Combination,ENABLED,does not vote,app.simulation.models_cat7.run_z_numbers,registry.run_module -> app.simulation.models_cat7.run_z_numbers,zNumberAssessment,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
B2.6,PLTS,Evidence Combination,ENABLED,does not vote,app.simulation.models_cat7.run_plts,registry.run_module -> app.simulation.models_cat7.run_plts,probabilisticLinguisticAssessment,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
B2.7,Plithogenic Sets,Evidence Combination,DISABLED_CONCEPT_ONLY,does not vote,app.simulation.models_cat7.run_plithogenic_sets,registry.run_module -> app.simulation.models_cat7.run_plithogenic_sets,plithogenicLabStructure,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical laboratory engine exists, but the module is operationally disabled and produces no live project reading",YES,YES,YES,NO,NO,"the canonical laboratory engine exists, but the module is operationally disabled and produces no live project reading","the canonical laboratory engine exists, but the module is operationally disabled and produces no live project reading",none,PASS
B2.8,Belief Rule Base,Evidence Combination,ENABLED,does not vote,app.simulation.models_cat7.run_belief_rule_base,registry.run_module -> app.simulation.models_cat7.run_belief_rule_base,beliefRuleBase,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
B2.9,Quantum Probability,Evidence Combination,DISABLED_CONCEPT_ONLY,does not vote,app.simulation.models_cat7.run_quantum_probability,registry.run_module -> app.simulation.models_cat7.run_quantum_probability,none,not required by this module,n/a: this module defines no governed structure,n/a,"historical implementation and scientific record are preserved, but the method is not a runnable current capability",YES,YES,YES,YES,NO,"historical implementation and scientific record are preserved, but the method is not a runnable current capability","historical implementation and scientific record are preserved, but the method is not a runnable current capability",none,PASS
B2.10,Pythagorean Fuzzy Sets,Evidence Combination,ENABLED,does not vote,app.simulation.models_cat7.run_pythagorean_fuzzy,registry.run_module -> app.simulation.models_cat7.run_pythagorean_fuzzy,pythagoreanFuzzyAssessment,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
B2.11,Picture Fuzzy Sets,Evidence Combination,ENABLED,does not vote,app.simulation.models_cat7.run_picture_fuzzy,registry.run_module -> app.simulation.models_cat7.run_picture_fuzzy,pictureFuzzyAssessment,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
B2.12,Hesitant Fuzzy Sets,Evidence Combination,ENABLED,does not vote,app.simulation.models_cat7.run_hesitant_fuzzy,registry.run_module -> app.simulation.models_cat7.run_hesitant_fuzzy,hesitantFuzzyAssessment,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
B2.13,Type-2 Fuzzy Sets,Evidence Combination,ENABLED,does not vote,app.simulation.models_cat7.run_type2_fuzzy,registry.run_module -> app.simulation.models_cat7.run_type2_fuzzy,type2FuzzyAssessment,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
B2.14,Maximum Entropy,Evidence Combination,ENABLED,does not vote,app.simulation.models_cat7.run_maximum_entropy,registry.run_module -> app.simulation.models_cat7.run_maximum_entropy,maximumEntropyProblem,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
B2.15,Possibility Theory,Evidence Combination,ENABLED,does not vote,app.simulation.models_cat7.run_possibility_theory,registry.run_module -> app.simulation.models_cat7.run_possibility_theory,possibilityAssessment,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
B2.16,Spherical Fuzzy Sets,Evidence Combination,ENABLED,does not vote,app.simulation.models_cat7.run_spherical_fuzzy,registry.run_module -> app.simulation.models_cat7.run_spherical_fuzzy,sphericalFuzzyAssessment,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
B2.17,Fermatean Fuzzy Sets,Evidence Combination,ENABLED,does not vote,app.simulation.models_cat7.run_fermatean_fuzzy,registry.run_module -> app.simulation.models_cat7.run_fermatean_fuzzy,fermateanFuzzyAssessment,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
B2.18,MARCOS Ranking,Evidence Combination,ENABLED,does not vote,app.simulation.models_cat7.run_marcos,registry.run_module -> app.simulation.models_cat7.run_marcos,decisionAlternatives,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
B2.19,CRITIC-TOPSIS,Evidence Combination,ENABLED,does not vote,app.simulation.models_cat7.run_critic_topsis,registry.run_module -> app.simulation.models_cat7.run_critic_topsis,decisionAlternatives,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
B2.20,Hypersoft Sets,Evidence Combination,DISABLED_CONCEPT_ONLY,does not vote,app.simulation.models_cat7.run_hypersoft_sets,registry.run_module -> app.simulation.models_cat7.run_hypersoft_sets,hypersoftLabStructure,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical laboratory engine exists, but the module is operationally disabled and produces no live project reading",YES,YES,YES,NO,NO,"the canonical laboratory engine exists, but the module is operationally disabled and produces no live project reading","the canonical laboratory engine exists, but the module is operationally disabled and produces no live project reading",none,PASS
B3.1,Agent-Based Governance Model,Regulatory & Authority Thresholds,ENABLED,does not vote,app.simulation.models_cat89.run_B3_1,registry.run_module -> app.simulation.models_cat89.run_B3_1,abmGovernanceModel,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
B3.2,FAR/Agency EVMS Applicability Monitor,Regulatory & Authority Thresholds,ENABLED,does not vote,app.simulation.models_cat89.run_B3_2,registry.run_module -> app.simulation.models_cat89.run_B3_2,evmsApplicabilityEvidence,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
B3.3,Versioned A-11 Capital Programming Conformance Check,Regulatory & Authority Thresholds,ENABLED,does not vote,app.simulation.models_cat89.run_B3_3,registry.run_module -> app.simulation.models_cat89.run_B3_3,a11RuleRegister,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
B3.4,EVMS Reporting Compliance Monitor,Regulatory & Authority Thresholds,ENABLED,does not vote,app.simulation.models_cat89.run_B3_4,registry.run_module -> app.simulation.models_cat89.run_B3_4,evmsReportingRecord,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
B3.5,Contract Modification Governance Check,Regulatory & Authority Thresholds,ENABLED,does not vote,app.simulation.models_cat89.run_B3_5,registry.run_module -> app.simulation.models_cat89.run_B3_5,contractModificationRegister,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
B4.1,Multi-Objective Optimization,Decision Optimization,DISABLED_CONCEPT_ONLY,does not vote,app.simulation.models_cat10.run_B4_1,registry.run_module -> app.simulation.models_cat10.run_B4_1,decisionAlternatives,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical laboratory engine exists, but the module is operationally disabled and produces no live project reading",YES,YES,YES,NO,NO,"the canonical laboratory engine exists, but the module is operationally disabled and produces no live project reading","the canonical laboratory engine exists, but the module is operationally disabled and produces no live project reading",none,PASS
B4.2,Linear Programming,Decision Optimization,DISABLED_CONCEPT_ONLY,does not vote,app.simulation.models_cat10.run_B4_2,registry.run_module -> app.simulation.models_cat10.run_B4_2,linearProgramModel,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical laboratory engine exists, but the module is operationally disabled and produces no live project reading",YES,YES,YES,NO,NO,"the canonical laboratory engine exists, but the module is operationally disabled and produces no live project reading","the canonical laboratory engine exists, but the module is operationally disabled and produces no live project reading",none,PASS
B4.3,Constraint Satisfaction Analysis,Decision Optimization,ENABLED,does not vote,app.simulation.models_cat10.run_B4_3,registry.run_module -> app.simulation.models_cat10.run_B4_3,constraintSatisfactionProblem,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
B4.4,What-If Scenario Matrix,Decision Optimization,ENABLED,does not vote,app.simulation.models_cat10.run_B4_4,registry.run_module -> app.simulation.models_cat10.run_B4_4,actionScenarioMatrix,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
B4.5,Decision Sensitivity Matrix,Decision Optimization,DISABLED_CONCEPT_ONLY,does not vote,app.simulation.models_cat10.run_B4_5,registry.run_module -> app.simulation.models_cat10.run_B4_5,decisionSensitivityModel,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical laboratory engine exists, but the module is operationally disabled and produces no live project reading",YES,YES,YES,NO,NO,"the canonical laboratory engine exists, but the module is operationally disabled and produces no live project reading","the canonical laboratory engine exists, but the module is operationally disabled and produces no live project reading",none,PASS
B4.6,Pareto Frontier Analysis,Decision Optimization,DISABLED_CONCEPT_ONLY,does not vote,app.simulation.models_cat10.run_B4_6,registry.run_module -> app.simulation.models_cat10.run_B4_6,decisionAlternatives,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical laboratory engine exists, but the module is operationally disabled and produces no live project reading",YES,YES,YES,NO,NO,"the canonical laboratory engine exists, but the module is operationally disabled and produces no live project reading","the canonical laboratory engine exists, but the module is operationally disabled and produces no live project reading",none,PASS
B4.7,Minimax Regret Decision Rule,Decision Optimization,ENABLED,does not vote,app.simulation.models_cat10.run_B4_7,registry.run_module -> app.simulation.models_cat10.run_B4_7,actionScenarioMatrix,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
C1.1,Missing Data Index,Data Integrity,ENABLED,does not vote,app.simulation.models_cat89.run_C1_1,registry.run_module -> app.simulation.models_cat89.run_C1_1,requiredInputContract,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
C1.2,Data Timeliness Score,Data Integrity,ENABLED,does not vote,app.simulation.models_cat89.run_C1_2,registry.run_module -> app.simulation.models_cat89.run_C1_2,evidenceTimelinessRecord,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
C1.3,Source Reliability Weighting,Data Integrity,ENABLED,does not vote,app.simulation.models_cat89.run_C1_3,registry.run_module -> app.simulation.models_cat89.run_C1_3,sourceProvenanceRecord,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
C1.4,Audit Trail Completeness,Data Integrity,ENABLED,does not vote,app.simulation.models_cat89.run_C1_4,registry.run_module -> app.simulation.models_cat89.run_C1_4,auditChainRecord,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
C1.5,Information Completeness Ratio,Data Integrity,ENABLED,does not vote,app.simulation.models_cat89.run_C1_5,registry.run_module -> app.simulation.models_cat89.run_C1_5,informationPackageRecord,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
C1.6,Cross-document Consistency Score,Data Integrity,ENABLED,does not vote,app.simulation.models_cat89.run_C1_6,registry.run_module -> app.simulation.models_cat89.run_C1_6,crossDocumentFactSet,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
C1.7,Reporting Frequency Index,Data Integrity,ENABLED,does not vote,app.simulation.models_cat89.run_C1_7,registry.run_module -> app.simulation.models_cat89.run_C1_7,reportingCadenceRecord,required and enforced by the canonical-structure layer,YES: admitted by project_data.governed_structure_keys(),NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",YES,YES,NO,NO,NO,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable","the canonical production runner exists, but execution requires a named defining structure; when that structure is absent the module returns Not Estimable",none,PASS
D1.1,Isolation Forest,Portfolio Health,ENABLED,does not vote,app.simulation.portfolio (Isolation_Forest),registry.run_module -> app.simulation.portfolio (Isolation_Forest),none,not required by this module,n/a: this module defines no governed structure,n/a,the current portfolio runner computes this reading across the portfolio rather than from a single project's governed evidence,YES,NO,NO,NO,NO,the current portfolio runner computes this reading across the portfolio rather than from a single project's governed evidence,the current portfolio runner computes this reading across the portfolio rather than from a single project's governed evidence,none,PASS
D1.2,Portfolio Outlier Detection,Portfolio Health,ENABLED,does not vote,app.simulation.portfolio (Portfolio_Outlier),registry.run_module -> app.simulation.portfolio (Portfolio_Outlier),none,not required by this module,n/a: this module defines no governed structure,n/a,the current portfolio runner computes this reading across the portfolio rather than from a single project's governed evidence,YES,NO,NO,NO,NO,the current portfolio runner computes this reading across the portfolio rather than from a single project's governed evidence,the current portfolio runner computes this reading across the portfolio rather than from a single project's governed evidence,none,PASS
D1.3,Signal Trajectory Classifier,Portfolio Health,ENABLED,does not vote,app.simulation.portfolio (Trajectory_Classifier),registry.run_module -> app.simulation.portfolio (Trajectory_Classifier),none,not required by this module,n/a: this module defines no governed structure,n/a,the current portfolio runner computes this reading across the portfolio rather than from a single project's governed evidence,YES,NO,NO,NO,NO,the current portfolio runner computes this reading across the portfolio rather than from a single project's governed evidence,the current portfolio runner computes this reading across the portfolio rather than from a single project's governed evidence,none,PASS
D1.4,Cross-project Pattern Detector,Portfolio Health,ENABLED,does not vote,app.simulation.portfolio (Cross_Project_Pattern),registry.run_module -> app.simulation.portfolio (Cross_Project_Pattern),none,not required by this module,n/a: this module defines no governed structure,n/a,the current portfolio runner computes this reading across the portfolio rather than from a single project's governed evidence,YES,NO,NO,NO,NO,the current portfolio runner computes this reading across the portfolio rather than from a single project's governed evidence,the current portfolio runner computes this reading across the portfolio rather than from a single project's governed evidence,none,PASS
D1.5,Anomaly Score,Portfolio Health,ENABLED,does not vote,app.simulation.portfolio (Anomaly_Score),registry.run_module -> app.simulation.portfolio (Anomaly_Score),none,not required by this module,n/a: this module defines no governed structure,n/a,the current portfolio runner computes this reading across the portfolio rather than from a single project's governed evidence,YES,NO,NO,NO,NO,the current portfolio runner computes this reading across the portfolio rather than from a single project's governed evidence,the current portfolio runner computes this reading across the portfolio rather than from a single project's governed evidence,none,PASS
