module_id,canonical_name,layer,test_case,exact_input,actual_output,independently_expected_output,difference,production_code_path,oracle_source,defect_class,likely_technical_cause,voting,can_affect_cost_recovery_status,neighbor_modules_at_risk,reproducer_command_or_test,verification_limitations
B2.11,Picture Fuzzy Sets,PROJECT,malformed input of a type the ingestion contract refuses,cpi='not-a-number':TypeError,cpi='not-a-number':TypeError; cpi=[]:TypeError; cpi={}:TypeError; docRiskScore='not-a-number':TypeError; docRiskScore=[]:TypeError; docRiskScore={}:TypeError,unreachable in production; recorded as a reliance,none reachable: extraction_merge.validate_numeric_fields refuses this value at every entry point before storage,server/app/simulation/models_fuzzy.py::run_picture_fuzzy,field_registry numeric contract,"OBSERVATION, not a defect: analytical layer does not itself coerce",type coercion delegated upstream,NO,NO,"A1.11, A1.3, A1.8, A2.10, A2.11, A2.4, A2.5, A2.8, A3.2, A3.4, A3.5, A3.6, A4.2, A4.3, A4.5, A4.6, A4.8, A5.2, A5.5, A5.8, A6.1, A6.2, A6.3, B2.10, B2.12, B2.13, B2.14, B2.15, B2.16, B2.17, B2.18, B3.2, B3.3, B3.4, B3.5, B4.3, B4.4, C1.6",tools/test_run13_module_evidence.py,depends on the ingestion contract remaining in force
B2.12,Hesitant Fuzzy Sets,PROJECT,malformed input of a type the ingestion contract refuses,cpi='not-a-number':TypeError,cpi='not-a-number':TypeError; cpi=[]:TypeError; cpi={}:TypeError; spi='not-a-number':TypeError; spi=[]:TypeError; spi={}:TypeError,unreachable in production; recorded as a reliance,none reachable: extraction_merge.validate_numeric_fields refuses this value at every entry point before storage,server/app/simulation/models_fuzzy.py::run_hesitant_fuzzy,field_registry numeric contract,"OBSERVATION, not a defect: analytical layer does not itself coerce",type coercion delegated upstream,NO,NO,"A1.11, A1.3, A1.8, A2.10, A2.11, A2.4, A2.5, A2.8, A3.2, A3.4, A3.5, A3.6, A4.2, A4.3, A4.5, A4.6, A4.8, A5.2, A5.5, A5.8, A6.1, A6.2, A6.3, B2.10, B2.11, B2.13, B2.14, B2.15, B2.16, B2.17, B2.18, B3.2, B3.3, B3.4, B3.5, B4.3, B4.4, C1.6",tools/test_run13_module_evidence.py,depends on the ingestion contract remaining in force
B2.13,Type-2 Fuzzy Sets,PROJECT,malformed input of a type the ingestion contract refuses,cpi='not-a-number':TypeError,cpi='not-a-number':TypeError; cpi=[]:TypeError; cpi={}:TypeError; spi='not-a-number':TypeError; spi=[]:TypeError; spi={}:TypeError,unreachable in production; recorded as a reliance,none reachable: extraction_merge.validate_numeric_fields refuses this value at every entry point before storage,server/app/simulation/models_fuzzy.py::run_type2_fuzzy,field_registry numeric contract,"OBSERVATION, not a defect: analytical layer does not itself coerce",type coercion delegated upstream,NO,NO,"A1.11, A1.3, A1.8, A2.10, A2.11, A2.4, A2.5, A2.8, A3.2, A3.4, A3.5, A3.6, A4.2, A4.3, A4.5, A4.6, A4.8, A5.2, A5.5, A5.8, A6.1, A6.2, A6.3, B2.10, B2.11, B2.12, B2.14, B2.15, B2.16, B2.17, B2.18, B3.2, B3.3, B3.4, B3.5, B4.3, B4.4, C1.6",tools/test_run13_module_evidence.py,depends on the ingestion contract remaining in force
B2.14,Maximum Entropy,PROJECT,malformed input of a type the ingestion contract refuses,cpi='not-a-number':TypeError,cpi='not-a-number':TypeError; cpi=[]:TypeError; cpi={}:TypeError; docRiskScore='not-a-number':TypeError; spi='not-a-number':TypeError; spi=[]:TypeError,unreachable in production; recorded as a reliance,none reachable: extraction_merge.validate_numeric_fields refuses this value at every entry point before storage,server/app/simulation/models_fuzzy.py::run_maximum_entropy,field_registry numeric contract,"OBSERVATION, not a defect: analytical layer does not itself coerce",type coercion delegated upstream,NO,NO,"A1.11, A1.3, A1.8, A2.10, A2.11, A2.4, A2.5, A2.8, A3.2, A3.4, A3.5, A3.6, A4.2, A4.3, A4.5, A4.6, A4.8, A5.2, A5.5, A5.8, A6.1, A6.2, A6.3, B2.10, B2.11, B2.12, B2.13, B2.15, B2.16, B2.17, B2.18, B3.2, B3.3, B3.4, B3.5, B4.3, B4.4, C1.6",tools/test_run13_module_evidence.py,depends on the ingestion contract remaining in force
B2.15,Possibility Theory,PROJECT,malformed input of a type the ingestion contract refuses,cpi='not-a-number':TypeError,cpi='not-a-number':TypeError; cpi=[]:TypeError; cpi={}:TypeError; docRiskScore='not-a-number':TypeError; spi='not-a-number':TypeError; spi=[]:TypeError,unreachable in production; recorded as a reliance,none reachable: extraction_merge.validate_numeric_fields refuses this value at every entry point before storage,server/app/simulation/models_fuzzy.py::run_possibility_theory,field_registry numeric contract,"OBSERVATION, not a defect: analytical layer does not itself coerce",type coercion delegated upstream,NO,NO,"A1.11, A1.3, A1.8, A2.10, A2.11, A2.4, A2.5, A2.8, A3.2, A3.4, A3.5, A3.6, A4.2, A4.3, A4.5, A4.6, A4.8, A5.2, A5.5, A5.8, A6.1, A6.2, A6.3, B2.10, B2.11, B2.12, B2.13, B2.14, B2.16, B2.17, B2.18, B3.2, B3.3, B3.4, B3.5, B4.3, B4.4, C1.6",tools/test_run13_module_evidence.py,depends on the ingestion contract remaining in force
B2.16,Spherical Fuzzy Sets,PROJECT,malformed input of a type the ingestion contract refuses,cpi='not-a-number':TypeError,cpi='not-a-number':TypeError; cpi=[]:TypeError; cpi={}:TypeError; docRiskScore='not-a-number':TypeError; spi='not-a-number':TypeError; spi=[]:TypeError,unreachable in production; recorded as a reliance,none reachable: extraction_merge.validate_numeric_fields refuses this value at every entry point before storage,server/app/simulation/models_fuzzy.py::run_spherical_fuzzy,field_registry numeric contract,"OBSERVATION, not a defect: analytical layer does not itself coerce",type coercion delegated upstream,NO,NO,"A1.11, A1.3, A1.8, A2.10, A2.11, A2.4, A2.5, A2.8, A3.2, A3.4, A3.5, A3.6, A4.2, A4.3, A4.5, A4.6, A4.8, A5.2, A5.5, A5.8, A6.1, A6.2, A6.3, B2.10, B2.11, B2.12, B2.13, B2.14, B2.15, B2.17, B2.18, B3.2, B3.3, B3.4, B3.5, B4.3, B4.4, C1.6",tools/test_run13_module_evidence.py,depends on the ingestion contract remaining in force
B2.17,Fermatean Fuzzy Sets,PROJECT,malformed input of a type the ingestion contract refuses,cpi='not-a-number':TypeError,cpi='not-a-number':TypeError; cpi=[]:TypeError; cpi={}:TypeError; spi='not-a-number':TypeError; spi=[]:TypeError; spi={}:TypeError,unreachable in production; recorded as a reliance,none reachable: extraction_merge.validate_numeric_fields refuses this value at every entry point before storage,server/app/simulation/models_fuzzy.py::run_fermatean_fuzzy,field_registry numeric contract,"OBSERVATION, not a defect: analytical layer does not itself coerce",type coercion delegated upstream,NO,NO,"A1.11, A1.3, A1.8, A2.10, A2.11, A2.4, A2.5, A2.8, A3.2, A3.4, A3.5, A3.6, A4.2, A4.3, A4.5, A4.6, A4.8, A5.2, A5.5, A5.8, A6.1, A6.2, A6.3, B2.10, B2.11, B2.12, B2.13, B2.14, B2.15, B2.16, B2.18, B3.2, B3.3, B3.4, B3.5, B4.3, B4.4, C1.6",tools/test_run13_module_evidence.py,depends on the ingestion contract remaining in force
B2.18,MARCOS Ranking,PROJECT,malformed input of a type the ingestion contract refuses,cpi='not-a-number':TypeError,cpi='not-a-number':TypeError; cpi=[]:TypeError; cpi={}:TypeError; docRiskScore='not-a-number':TypeError; spi='not-a-number':TypeError; spi=[]:TypeError,unreachable in production; recorded as a reliance,none reachable: extraction_merge.validate_numeric_fields refuses this value at every entry point before storage,server/app/simulation/models_fuzzy.py::run_marcos,field_registry numeric contract,"OBSERVATION, not a defect: analytical layer does not itself coerce",type coercion delegated upstream,NO,NO,"A1.11, A1.3, A1.8, A2.10, A2.11, A2.4, A2.5, A2.8, A3.2, A3.4, A3.5, A3.6, A4.2, A4.3, A4.5, A4.6, A4.8, A5.2, A5.5, A5.8, A6.1, A6.2, A6.3, B2.10, B2.11, B2.12, B2.13, B2.14, B2.15, B2.16, B2.17, B3.2, B3.3, B3.4, B3.5, B4.3, B4.4, C1.6",tools/test_run13_module_evidence.py,depends on the ingestion contract remaining in force
B2.19,CRITIC-TOPSIS,PROJECT,canonical structure absent,RICH minus decisionMatrix,"{'method_class': 'CRITIC_TOPSIS', 'status_color': 'Amber', 'topsis_score': 0.489, 'distance_ideal': 0.269, 'distance_anti': 0.258, 'evidence_metric': 'CRITIC-TOPSIS: 0.489 (d+ 0.269, d- 0.258)'}",abstention naming the missing structure,a reading without the defining structure,server/app/simulation/models_fuzzy.py::run_critic_topsis,canonical.py structure contract,canonical method replaced by proxy,structure guard missing or bypassed,NO,NO,A5.4,tools/test_run13_module_evidence.py,"every module was exercised on every input it reads, so this class was swept exhaustively rather than sampled"
B3.2,FAR Threshold Monitor,PROJECT,malformed input of a type the ingestion contract refuses,bac='not-a-number':TypeError,bac='not-a-number':TypeError; bac=nan:non-finite output; bac=inf:non-finite output; bac=[]:TypeError; bac={}:TypeError; cpi='not-a-number':TypeError,unreachable in production; recorded as a reliance,none reachable: extraction_merge.validate_numeric_fields refuses this value at every entry point before storage,server/app/simulation/models_gov.py::run_far_threshold,field_registry numeric contract,"OBSERVATION, not a defect: analytical layer does not itself coerce",type coercion delegated upstream,NO,NO,"A1.11, A1.3, A1.8, A2.10, A2.11, A2.4, A2.5, A2.8, A3.2, A3.4, A3.5, A3.6, A4.2, A4.3, A4.5, A4.6, A4.8, A5.2, A5.5, A5.8, A6.1, A6.2, A6.3, B2.10, B2.11, B2.12, B2.13, B2.14, B2.15, B2.16, B2.17, B2.18, B3.3, B3.4, B3.5, B4.3, B4.4, C1.6",tools/test_run13_module_evidence.py,depends on the ingestion contract remaining in force
B3.3,OMB A-11 Check,PROJECT,malformed input of a type the ingestion contract refuses,bac='not-a-number':TypeError,bac='not-a-number':TypeError; bac=nan:ValueError; bac=inf:ValueError; bac=[]:TypeError; bac={}:TypeError; cpi='not-a-number':TypeError,unreachable in production; recorded as a reliance,none reachable: extraction_merge.validate_numeric_fields refuses this value at every entry point before storage,server/app/simulation/models_gov.py::run_omb_a11_check,field_registry numeric contract,"OBSERVATION, not a defect: analytical layer does not itself coerce",type coercion delegated upstream,NO,NO,"A1.11, A1.3, A1.8, A2.10, A2.11, A2.4, A2.5, A2.8, A3.2, A3.4, A3.5, A3.6, A4.2, A4.3, A4.5, A4.6, A4.8, A5.2, A5.5, A5.8, A6.1, A6.2, A6.3, B2.10, B2.11, B2.12, B2.13, B2.14, B2.15, B2.16, B2.17, B2.18, B3.2, B3.4, B3.5, B4.3, B4.4, C1.6",tools/test_run13_module_evidence.py,depends on the ingestion contract remaining in force
B3.4,EVM Reporting Threshold,PROJECT,malformed input of a type the ingestion contract refuses,bac='not-a-number':TypeError,bac='not-a-number':TypeError; bac=nan:non-finite output; bac=inf:non-finite output; bac=[]:TypeError; bac={}:TypeError; cpi='not-a-number':TypeError,unreachable in production; recorded as a reliance,none reachable: extraction_merge.validate_numeric_fields refuses this value at every entry point before storage,server/app/simulation/models_gov.py::run_evm_reporting_threshold,field_registry numeric contract,"OBSERVATION, not a defect: analytical layer does not itself coerce",type coercion delegated upstream,NO,NO,"A1.11, A1.3, A1.8, A2.10, A2.11, A2.4, A2.5, A2.8, A3.2, A3.4, A3.5, A3.6, A4.2, A4.3, A4.5, A4.6, A4.8, A5.2, A5.5, A5.8, A6.1, A6.2, A6.3, B2.10, B2.11, B2.12, B2.13, B2.14, B2.15, B2.16, B2.17, B2.18, B3.2, B3.3, B3.5, B4.3, B4.4, C1.6",tools/test_run13_module_evidence.py,depends on the ingestion contract remaining in force
B3.5,Contract Modification Frequency,PROJECT,malformed input of a type the ingestion contract refuses,baselineContractSum='not-a-number':TypeError,baselineContractSum='not-a-number':TypeError; baselineContractSum=inf:non-finite output; baselineContractSum=[]:TypeError; baselineContractSum={}:TypeError; changeOrderCount='not-a-number':TypeError; changeOrderCount=nan:non-finite output,unreachable in production; recorded as a reliance,none reachable: extraction_merge.validate_numeric_fields refuses this value at every entry point before storage,server/app/simulation/models_gov.py::run_contract_mod_frequency,field_registry numeric contract,"OBSERVATION, not a defect: analytical layer does not itself coerce",type coercion delegated upstream,NO,NO,"A1.11, A1.3, A1.8, A2.10, A2.11, A2.4, A2.5, A2.8, A3.2, A3.4, A3.5, A3.6, A4.2, A4.3, A4.5, A4.6, A4.8, A5.2, A5.5, A5.8, A6.1, A6.2, A6.3, B2.10, B2.11, B2.12, B2.13, B2.14, B2.15, B2.16, B2.17, B2.18, B3.2, B3.3, B3.4, B4.3, B4.4, C1.6",tools/test_run13_module_evidence.py,depends on the ingestion contract remaining in force
B4.3,Constraint Satisfaction Analysis,PROJECT,malformed input of a type the ingestion contract refuses,cpi='not-a-number':TypeError,cpi='not-a-number':TypeError; cpi=[]:TypeError; cpi={}:TypeError; docRiskScore='not-a-number':TypeError; spi='not-a-number':TypeError; spi=[]:TypeError,unreachable in production; recorded as a reliance,none reachable: extraction_merge.validate_numeric_fields refuses this value at every entry point before storage,server/app/simulation/models_gov.py::run_constraint_satisfaction,field_registry numeric contract,"OBSERVATION, not a defect: analytical layer does not itself coerce",type coercion delegated upstream,NO,NO,"A1.11, A1.3, A1.8, A2.10, A2.11, A2.4, A2.5, A2.8, A3.2, A3.4, A3.5, A3.6, A4.2, A4.3, A4.5, A4.6, A4.8, A5.2, A5.5, A5.8, A6.1, A6.2, A6.3, B2.10, B2.11, B2.12, B2.13, B2.14, B2.15, B2.16, B2.17, B2.18, B3.2, B3.3, B3.4, B3.5, B4.4, C1.6",tools/test_run13_module_evidence.py,depends on the ingestion contract remaining in force
B4.4,What-If Scenario Matrix,PROJECT,malformed input of a type the ingestion contract refuses,ac='not-a-number':TypeError,ac='not-a-number':TypeError; ac=nan:ValueError; ac=inf:OverflowError; ac=[]:TypeError; ac={}:TypeError; bac='not-a-number':TypeError,unreachable in production; recorded as a reliance,none reachable: extraction_merge.validate_numeric_fields refuses this value at every entry point before storage,server/app/simulation/models_gov.py::run_whatif_matrix,field_registry numeric contract,"OBSERVATION, not a defect: analytical layer does not itself coerce",type coercion delegated upstream,NO,NO,"A1.11, A1.3, A1.8, A2.10, A2.11, A2.4, A2.5, A2.8, A3.2, A3.4, A3.5, A3.6, A4.2, A4.3, A4.5, A4.6, A4.8, A5.2, A5.5, A5.8, A6.1, A6.2, A6.3, B2.10, B2.11, B2.12, B2.13, B2.14, B2.15, B2.16, B2.17, B2.18, B3.2, B3.3, B3.4, B3.5, B4.3, C1.6",tools/test_run13_module_evidence.py,depends on the ingestion contract remaining in force
C1.6,Cross-document Consistency Score,PROJECT,missingness: drop one required input,"RICH minus actualPctComplete, bac",actualPctComplete->Green; bac->Green,"no band better than Amber, or abstention",a better band with less evidence,server/app/simulation/models_dq.py::run_cross_doc_consistency,contract: absence is not evidence of health,missing evidence improves the reading,a default substituted for an absent input,NO,NO,A3.5,tools/test_run13_module_evidence.py,"every module was exercised on every input it reads, so this class was swept exhaustively rather than sampled"
C1.6,Cross-document Consistency Score,PROJECT,malformed input of a type the ingestion contract refuses,ac='not-a-number':TypeError,ac='not-a-number':TypeError; ac=[]:TypeError; ac={}:TypeError; actualPctComplete='not-a-number':TypeError; actualPctComplete=[]:TypeError; actualPctComplete={}:TypeError,unreachable in production; recorded as a reliance,none reachable: extraction_merge.validate_numeric_fields refuses this value at every entry point before storage,server/app/simulation/models_dq.py::run_cross_doc_consistency,field_registry numeric contract,"OBSERVATION, not a defect: analytical layer does not itself coerce",type coercion delegated upstream,NO,NO,"A1.11, A1.3, A1.8, A2.10, A2.11, A2.4, A2.5, A2.8, A3.2, A3.4, A3.5, A3.6, A4.2, A4.3, A4.5, A4.6, A4.8, A5.2, A5.5, A5.8, A6.1, A6.2, A6.3, B2.10, B2.11, B2.12, B2.13, B2.14, B2.15, B2.16, B2.17, B2.18, B3.2, B3.3, B3.4, B3.5, B4.3, B4.4",tools/test_run13_module_evidence.py,depends on the ingestion contract remaining in force
