module_id,analytical_purpose,primary_inputs,primary_lineage,closest_overlapping_target,overlap_type,unique_analytical_contribution,current_operational_necessity,proposed_disposition,evidence,result
B2.20,Hypersoft Sets (Evidence Combination),none reached on this corpus,LINEAGE_NOT_APPLICABLE,none,NONE,YES,NO - disabled or archived,DISABLED_INSUFFICIENT_PROVENANCE,primitive sources actually read on the governed corpus: none reached; declared governed structure: hypersoftLabStructure; lineage state LINEAGE_NOT_APPLICABLE; independence established: False,PASS
B3.1,Agent-Based Governance Model (Regulatory & Authority Thresholds),abmGovernanceModel,LINEAGE_UNRESOLVED,none,NONE,YES,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['abmGovernanceModel']; declared governed structure: abmGovernanceModel; lineage state LINEAGE_UNRESOLVED; independence established: False,PASS
B3.2,FAR/Agency EVMS Applicability Monitor (Regulatory & Authority Thresholds),evmsApplicabilityEvidence,LINEAGE_UNRESOLVED,none,NONE,YES,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['evmsApplicabilityEvidence']; declared governed structure: evmsApplicabilityEvidence; lineage state LINEAGE_UNRESOLVED; independence established: False,PASS
B3.3,Versioned A-11 Capital Programming Conformance Check (Regulatory & Authority Thresholds),a11RuleRegister,LINEAGE_UNRESOLVED,none,NONE,YES,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['a11RuleRegister']; declared governed structure: a11RuleRegister; lineage state LINEAGE_UNRESOLVED; independence established: False,PASS
B3.4,EVMS Reporting Compliance Monitor (Regulatory & Authority Thresholds),evmsReportingRecord,LINEAGE_UNRESOLVED,none,NONE,YES,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['evmsReportingRecord']; declared governed structure: evmsReportingRecord; lineage state LINEAGE_UNRESOLVED; independence established: False,PASS
B3.5,Contract Modification Governance Check (Regulatory & Authority Thresholds),contractModificationRegister,LINEAGE_UNRESOLVED,none,NONE,YES,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['contractModificationRegister']; declared governed structure: contractModificationRegister; lineage state LINEAGE_UNRESOLVED; independence established: False,PASS
B4.1,Multi-Objective Optimization (Decision Optimization),none reached on this corpus,LINEAGE_NOT_APPLICABLE,B2.18,SHARED_GOVERNED_STRUCTURE (same primitive source object),NO,NO - disabled or archived,DISABLED_INSUFFICIENT_INPUT,primitive sources actually read on the governed corpus: none reached; declared governed structure: decisionAlternatives; lineage state LINEAGE_NOT_APPLICABLE; independence established: False,PASS
B4.2,Linear Programming (Decision Optimization),none reached on this corpus,LINEAGE_NOT_APPLICABLE,none,NONE,YES,NO - disabled or archived,DISABLED_INSUFFICIENT_INPUT,primitive sources actually read on the governed corpus: none reached; declared governed structure: linearProgramModel; lineage state LINEAGE_NOT_APPLICABLE; independence established: False,PASS
B4.3,Constraint Satisfaction Analysis (Decision Optimization),constraintSatisfactionProblem,LINEAGE_UNRESOLVED,none,NONE,YES,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['constraintSatisfactionProblem']; declared governed structure: constraintSatisfactionProblem; lineage state LINEAGE_UNRESOLVED; independence established: False,PASS
B4.4,What-If Scenario Matrix (Decision Optimization),actionScenarioMatrix,LINEAGE_UNRESOLVED,B4.7,SHARED_GOVERNED_STRUCTURE (same primitive source object),NO,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['actionScenarioMatrix']; declared governed structure: actionScenarioMatrix; lineage state LINEAGE_UNRESOLVED; independence established: False,PASS
B4.5,Decision Sensitivity Matrix (Decision Optimization),none reached on this corpus,LINEAGE_NOT_APPLICABLE,none,NONE,YES,NO - disabled or archived,DISABLED_INSUFFICIENT_INPUT,primitive sources actually read on the governed corpus: none reached; declared governed structure: decisionSensitivityModel; lineage state LINEAGE_NOT_APPLICABLE; independence established: False,PASS
B4.6,Pareto Frontier Analysis (Decision Optimization),none reached on this corpus,LINEAGE_NOT_APPLICABLE,B2.18,SHARED_GOVERNED_STRUCTURE (same primitive source object),NO,NO - disabled or archived,DISABLED_INSUFFICIENT_INPUT,primitive sources actually read on the governed corpus: none reached; declared governed structure: decisionAlternatives; lineage state LINEAGE_NOT_APPLICABLE; independence established: False,PASS
B4.7,Minimax Regret Decision Rule (Decision Optimization),actionScenarioMatrix,LINEAGE_UNRESOLVED,B4.4,SHARED_GOVERNED_STRUCTURE (same primitive source object),NO,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['actionScenarioMatrix']; declared governed structure: actionScenarioMatrix; lineage state LINEAGE_UNRESOLVED; independence established: False,PASS
C1.1,Missing Data Index (Data Integrity),requiredInputContract,LINEAGE_UNRESOLVED,none,NONE,YES,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['requiredInputContract']; declared governed structure: requiredInputContract; lineage state LINEAGE_UNRESOLVED; independence established: False,PASS
C1.2,Data Timeliness Score (Data Integrity),evidenceTimelinessRecord,LINEAGE_UNRESOLVED,none,NONE,YES,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['evidenceTimelinessRecord']; declared governed structure: evidenceTimelinessRecord; lineage state LINEAGE_UNRESOLVED; independence established: False,PASS
C1.3,Source Reliability Weighting (Data Integrity),sourceProvenanceRecord,LINEAGE_UNRESOLVED,none,NONE,YES,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['sourceProvenanceRecord']; declared governed structure: sourceProvenanceRecord; lineage state LINEAGE_UNRESOLVED; independence established: False,PASS
C1.4,Audit Trail Completeness (Data Integrity),auditChainRecord,LINEAGE_UNRESOLVED,none,NONE,YES,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['auditChainRecord']; declared governed structure: auditChainRecord; lineage state LINEAGE_UNRESOLVED; independence established: False,PASS
C1.5,Information Completeness Ratio (Data Integrity),informationPackageRecord,LINEAGE_UNRESOLVED,none,NONE,YES,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['informationPackageRecord']; declared governed structure: informationPackageRecord; lineage state LINEAGE_UNRESOLVED; independence established: False,PASS
C1.6,Cross-document Consistency Score (Data Integrity),crossDocumentFactSet,LINEAGE_UNRESOLVED,none,NONE,YES,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['crossDocumentFactSet']; declared governed structure: crossDocumentFactSet; lineage state LINEAGE_UNRESOLVED; independence established: False,PASS
C1.7,Reporting Frequency Index (Data Integrity),reportingCadenceRecord,LINEAGE_UNRESOLVED,none,NONE,YES,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['reportingCadenceRecord']; declared governed structure: reportingCadenceRecord; lineage state LINEAGE_UNRESOLVED; independence established: False,PASS
D1.1,Isolation Forest (Portfolio Health),none reached on this corpus,LINEAGE_UNRESOLVED,D1.2,SHARED_GOVERNED_STRUCTURE (same primitive source object),NO,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: none reached; declared governed structure: portfolioCohort; lineage state LINEAGE_UNRESOLVED; independence established: False,PASS
D1.2,Portfolio Outlier Detection (Portfolio Health),none reached on this corpus,LINEAGE_UNRESOLVED,D1.1,SHARED_GOVERNED_STRUCTURE (same primitive source object),NO,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: none reached; declared governed structure: portfolioCohort; lineage state LINEAGE_UNRESOLVED; independence established: False,PASS
D1.3,Signal Trajectory Classifier (Portfolio Health),none reached on this corpus,LINEAGE_UNRESOLVED,none,NONE,YES,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: none reached; declared governed structure: portfolioSignalHistory; lineage state LINEAGE_UNRESOLVED; independence established: False,PASS
D1.4,Cross-project Pattern Detector (Portfolio Health),none reached on this corpus,LINEAGE_UNRESOLVED,D1.1,SHARED_GOVERNED_STRUCTURE (same primitive source object),NO,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: none reached; declared governed structure: portfolioCohort; lineage state LINEAGE_UNRESOLVED; independence established: False,PASS
D1.5,Anomaly Score (Portfolio Health),none reached on this corpus,LINEAGE_ESTABLISHED_DEPENDENT,D1.1,SHARED_GOVERNED_STRUCTURE (same primitive source object),NO,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: none reached; declared governed structure: portfolioCohort; lineage state LINEAGE_ESTABLISHED_DEPENDENT; independence established: False,PASS
